country,industry,ai_tool,adoption_rate,daily_active_users,year,age_group,company_size,estimated_users_per_year,new_users_2023_2024
India,Agriculture,Claude,66.82,915,2024,45-54,Enterprise,,
Germany,Agriculture,Bard,8.79,6427,2024,45-54,Enterprise,,
Germany,Agriculture,ChatGPT,39.78,7710,2024,35-44,Startup,,
India,Agriculture,Midjourney,93.97,3525,2023,35-44,SME,,
Brazil,Agriculture,ChatGPT,52.79,2147,2024,25-34,Enterprise,,
Brazil,Agriculture,Midjourney,52.14,1973,2024,35-44,SME,,
France,Agriculture,Midjourney,50.41,4275,2024,55+,Enterprise,,
Brazil,Agriculture,ChatGPT,73.95,924,2023,35-44,Enterprise,,
Canada,Agriculture,ChatGPT,50.8,8837,2024,55+,Startup,,
China,Agriculture,Midjourney,76.34,4270,2024,45-54,Startup,,
Brazil,Agriculture,ChatGPT,34.9,3249,2024,55+,Enterprise,,
Germany,Agriculture,ChatGPT,87.42,2903,2023,35-44,Startup,,
Brazil,Agriculture,Bard,89.94,4166,2023,55+,Startup,,
USA,Agriculture,Stable Diffusion,18.15,9780,2023,45-54,Startup,,
France,Agriculture,Midjourney,96.11,8675,2024,25-34,Startup,,
France,Agriculture,Midjourney,60.96,969,2024,45-54,Startup,,
Germany,Agriculture,Claude,74.03,9747,2024,35-44,Enterprise,,
UK,Agriculture,Midjourney,5.98,9624,2024,18-24,SME,,
USA,Agriculture,Midjourney,7.42,8920,2024,45-54,Enterprise,,
China,Agriculture,Midjourney,64.56,8280,2024,45-54,Startup,,
France,Agriculture,ChatGPT,89.05,9565,2023,45-54,Enterprise,,
UK,Agriculture,Stable Diffusion,81.66,312,2024,18-24,SME,,
South Korea,Agriculture,Stable Diffusion,80.79,6102,2023,45-54,SME,,
France,Agriculture,Midjourney,20.8,5264,2023,45-54,Enterprise,,
UK,Agriculture,ChatGPT,21.67,4494,2024,35-44,Enterprise,,
South Korea,Agriculture,ChatGPT,46.2,2596,2024,35-44,Startup,,
India,Agriculture,Stable Diffusion,60.15,4650,2024,45-54,SME,,
Germany,Agriculture,Claude,41.89,1738,2024,25-34,SME,,
France,Agriculture,ChatGPT,74.99,9956,2024,45-54,Startup,,
India,Agriculture,Bard,69.16,5743,2024,35-44,Enterprise,,
Australia,Agriculture,ChatGPT,40.44,3021,2023,35-44,Enterprise,,
Germany,Agriculture,ChatGPT,27.82,1991,2023,18-24,SME,,
Germany,Agriculture,Midjourney,93.37,7775,2024,55+,Startup,,
Canada,Agriculture,Stable Diffusion,89.95,4371,2023,45-54,SME,,
UK,Agriculture,Bard,54.67,867,2024,55+,SME,,
South Korea,Agriculture,ChatGPT,36.16,608,2024,25-34,Enterprise,,
China,Agriculture,Stable Diffusion,95.79,6941,2024,35-44,Startup,,
USA,Agriculture,Midjourney,1.0,4891,2024,55+,Enterprise,,
UK,Agriculture,Stable Diffusion,73.24,877,2024,35-44,Startup,,
Brazil,Agriculture,Claude,88.14,9566,2024,45-54,Startup,,
South Korea,Agriculture,Bard,95.34,1016,2023,25-34,SME,,
Canada,Agriculture,ChatGPT,84.81,481,2024,45-54,Startup,,
USA,Agriculture,Bard,65.86,1542,2024,55+,Startup,,
UK,Agriculture,ChatGPT,10.0,893,2024,18-24,Startup,,
UK,Agriculture,ChatGPT,5.29,4299,2023,35-44,Startup,,
Germany,Agriculture,Midjourney,56.26,6360,2024,45-54,Enterprise,,
Canada,Agriculture,Midjourney,88.73,331,2024,35-44,Startup,,
UK,Agriculture,Bard,65.65,8659,2023,55+,SME,,
South Korea,Agriculture,ChatGPT,17.14,4102,2023,18-24,Startup,,
Australia,Agriculture,Stable Diffusion,72.19,2227,2024,18-24,Startup,,
Canada,Agriculture,Midjourney,14.95,4561,2024,18-24,Startup,,
Germany,Agriculture,Bard,3.23,7475,2024,35-44,SME,,
China,Agriculture,Midjourney,5.76,901,2023,45-54,Startup,,
Canada,Agriculture,Midjourney,63.89,4838,2023,45-54,Startup,,
Australia,Agriculture,ChatGPT,4.42,322,2024,35-44,SME,,
Germany,Agriculture,Stable Diffusion,80.45,5664,2024,18-24,SME,,
South Korea,Agriculture,Stable Diffusion,92.91,8934,2023,35-44,Startup,,
Germany,Agriculture,Stable Diffusion,6.19,714,2024,25-34,Startup,,
China,Agriculture,Bard,96.89,5029,2024,18-24,Startup,,
UK,Agriculture,Midjourney,0.63,425,2024,35-44,Enterprise,,
UK,Agriculture,Bard,3.56,3178,2024,18-24,Startup,,
UK,Agriculture,ChatGPT,31.09,6054,2023,25-34,Enterprise,,
Germany,Agriculture,ChatGPT,87.86,5789,2023,55+,Enterprise,,
China,Agriculture,Stable Diffusion,75.12,601,2024,55+,SME,,
Brazil,Agriculture,ChatGPT,94.88,6099,2024,25-34,Enterprise,,
UK,Agriculture,Stable Diffusion,93.08,8969,2023,25-34,Startup,,
USA,Agriculture,Midjourney,17.9,1798,2024,18-24,SME,,
Germany,Agriculture,ChatGPT,72.78,9341,2023,35-44,Enterprise,,
India,Agriculture,ChatGPT,26.42,179,2023,25-34,Enterprise,,
France,Agriculture,Midjourney,25.39,9992,2024,45-54,Enterprise,,
UK,Agriculture,Bard,64.47,704,2024,25-34,Startup,,
China,Agriculture,ChatGPT,96.22,3185,2024,55+,Enterprise,,
China,Agriculture,Midjourney,64.52,1026,2024,18-24,Enterprise,,
India,Agriculture,Midjourney,58.05,2022,2024,45-54,Enterprise,,
South Korea,Agriculture,Midjourney,94.88,4152,2024,55+,Enterprise,,
UK,Agriculture,Bard,80.64,6506,2023,18-24,Enterprise,,
France,Agriculture,Midjourney,21.89,1188,2024,55+,Enterprise,,
France,Agriculture,Midjourney,64.38,9113,2023,18-24,Startup,,
Canada,Agriculture,Midjourney,2.51,2738,2024,55+,Startup,,
South Korea,Agriculture,ChatGPT,46.72,2673,2024,18-24,Startup,,
India,Agriculture,ChatGPT,26.74,2444,2024,35-44,Startup,,
UK,Agriculture,Bard,95.13,9506,2024,55+,Startup,,
India,Agriculture,Midjourney,10.18,1164,2024,45-54,Startup,,
Canada,Agriculture,Midjourney,53.32,8591,2024,45-54,SME,,
Australia,Agriculture,Stable Diffusion,93.06,8264,2024,55+,Startup,,
UK,Agriculture,Bard,94.81,9833,2024,25-34,Startup,,
France,Agriculture,ChatGPT,41.97,5029,2023,25-34,SME,,
Germany,Agriculture,Midjourney,27.43,2118,2024,25-34,SME,,
