country,industry,ai_tool,adoption_rate,daily_active_users,year,user_feedback,age_group,company_size
China,Education,ChatGPT,38.79,6280,2024,GEJFjsGXEkujnqqKLFzIPfkqTOwtfVEEfSPp MMZawoQDHLmfMwCJBwhUdVNCbyLPOAtcULRLzuiToJVCYVyjXxRZtqvoORahsdhSfuJALeopAAviMVyuxQr swmoeklWpiSeCJzcIOxeBPZatkWid,25-34,SME
Australia,Education,ChatGPT,67.97,5354,2024,YzpKwjOwBEkwseCjcqzOXRCzAOkgtNQHNodFpwuOZmTRDStPUjjhrGtEgQaNufGJsoNkiSXBLKEZyVOKYRzTPiCTBWUQBmGxbTMytacpjqHDgDQxPfEXkxpZSf GzVOGGOOfrgMmhwqNtEzBouaxtJ,45-54,SME
UK,Education,ChatGPT,47.02,3033,2024,FvXOIOrmLOEangDvTQACosoxLznATChLfKWubmQWVfSGPuTIhUgSFXQAVEQNMvgNlsIrmPQfmUiDQcMnOsRdsltxzhOaVW oVydgMcQwlbzWKbJjQeiugvbxt ahVbCagA VdiBIkERSUVQGLcQ vE,35-44,Startup
Australia,Education,Stable Diffusion,43.8,2862,2024,pxPZogTI kOfnpTCHBuAHqLV DNTVjDyhGhgEWpUFbJkqmSEbmVlbCQpSwqyjzyNLgBdWxNqAnCqpYquZjfmakaaQbI JbhjfViCVpqvQjRwMWVZmQoIpTvFTUpBmLDYAax KeksqDubDCyWtSnVQL,55+,Enterprise
China,Education,Bard,64.5,8842,2023,BsoHOX PvjJxWxEJXhDImxaTraVDovoDcQFgJUgzTON GXfRIfbAmQzorCkDGiIeaxDvjnMbyZRnUmOFyivWPb RJiPYLhITZsEnnnwkFvWerwJpZedOAvSQeWDsJcIRKFglGG pqUxHgrvaIsWDiI,45-54,SME
Brazil,Education,Midjourney,20.79,4442,2024,FUlaNARwlGzSJECoDfacweaUaqMgswgctMzEPBJqksLVREoFDBFaEvsJHgCBAqzTpXkqadbEWbfjSFMxQrbEdhzqjYkpNNLwNcyxcIVThaNvIrsPdbZOuSBeMHPkJWCslGOfmCBHphZPKsIfsZnxrD,18-24,Enterprise
Brazil,Education,Midjourney,95.66,1013,2024,blSkHS EK wCoKvmhnLkQHllUvJPLfqHZXrhICeDiLxqTrermCxLogEbvtZLF lIjEIXkkpMzEKbAEGbAGiOjvIMpryjQNNdQuIbdSwxpLeZhnTKqffIzIDPtrhEWMAztTduyUyJVMYEgUtDStVASJ,35-44,Enterprise
France,Education,Claude,24.38,6527,2023,ScTj LBZJZDYhdBPdBnuAVWwyAhbyvntgBIcWtlqfZzNoSstLeDczBhdDKGMuTUHjdPnuMPbouW oMhwrelXMmXzoZxpjHFdYXjPxGhLUQjLTFKsNIbezllwjqtlKocSjQRMBNLDwjMBJwlpK Dlzk,18-24,SME
Australia,Education,Bard,6.27,4252,2024,oLBDTrbeXuehcOUXZLrXlpOKnqHgrkfvZZDBTZtQkWxocOaKIlOrbGkgOydy ppBUOGSCGGsPyQWuWuFSVgleDAemNyyQHwbJuVejLSjWDZNSDODVkQGSTVIPzfCovSBrEodHWPneFPYAXdQzR HYc,18-24,SME
Australia,Education,Midjourney,98.45,7504,2024,TuIJrFoJhmnMermIijmHpisZcASckdLfPqSJpdrbvarhgbhIXuHTe BugNPRboKNgKcWQaJvJHfGUShdIdOO QaHhtSeMaOHcu HYbcMryvqBJyTtnMblaICeeVPXWyYIDt ZLsxTQeyaxFUOXJFQh,55+,SME
South Korea,Education,Stable Diffusion,81.03,218,2024,PjlZcPKslPgunFNjLRPCULKVuXgidc ncGKKz PIrgruAHVgywktNERoWwdwoNGmvYHWcuPKrQQGqghhiVjPPUkJWX kxqTUVvFST GvLVgVJSYaePlfUgJasQZm LffOxTfGzIsGBDsvRSkhxLlLz,18-24,Enterprise
South Korea,Education,Stable Diffusion,84.75,8443,2024,JqVrPUmcFngSrfpuzVFrTOQMmBillGOQd COuxDddXFRaOCPMAjEAxQOJlZnlIFZFyjTYQgPiooZyxlCFWDPWepJrGTFNGxivQcElQHAPZBAdSGZDPRSEuTpHzjfdKknAxHrdOAjKouumvBwtNVlsX,18-24,SME
China,Education,Stable Diffusion,84.39,4019,2023,kSsCPcVIVIEzKsRwFYoxmPT XysKgPOGosCQdRGlIdNZAGjnAqSYIaodTwvrjfTykP nvECppyaRvHXKmueBbVMIpoMtZrwsZQUkmkAUwXkpVBlyovUBaUpcUhvNMiPYRKKYnaXuRWTOucxhpsWasF,18-24,Startup
Germany,Education,Bard,0.99,303,2023,KRFJAyzBXoFrrtrhXEyotdHgkLFhApBLvlNXfhcUQCxNZpKWotVZyWADolSOWlitayCpak gNtHpuTffbOHINiVrHKrXwkwcHlQLnfrmdHiiUADrdCCWSRgsAHThbfdcYpfLALaCIRGZrFaHVblWqw,55+,Enterprise
UK,Education,Bard,12.89,179,2023,ahYcJMRkvuTjajpnC MQwfExBeTzToiTsQDObJJSlFVXIPIxCUZELMtFTaxiGMfLadqZROoHSphXWObdpgcsXskVSlJYtocEldwLcCeNyPNpMvtSunMJEHaPxnjnFPfGkLachp uSHIruADiNXzveg,55+,Startup
South Korea,Education,Midjourney,59.64,4384,2024,FgXLiWJkioidzqZJPtiKHFmPxPvxNBFnVJfF mRY aVhUlhxptUJTBfCAyAMQIODflBNEfKvpuJZqhJaxgOMDpsSWfzTtRHFCNsJLTJJstpuqxPDCcCjhoOdedhnlCChluAMUqjhlRsIVxZeJalikN,55+,Startup
Canada,Education,Midjourney,91.08,5551,2023,HbXcyK NfZVTVsvbTKUQzJxHqnudvMzSAlaCJPmXRsYBDganlssuIeedDRELwsASW YSkariVQg rSHxKDHAGvAWJdpNvLjxYsaiRGXtVWoepYCB cvLeGhvobgRMjxsPyuCgNiZsQpWTrEyJq Eja,35-44,Enterprise
China,Education,Stable Diffusion,68.61,5333,2024,QOhdD SzFmcswGYjLebZKreCGDbJMEgPesVvvvFGFKDfqbRnygupZDziSZhYxKvSnVJMmRMVcEORdZbmtVDQaRd rgBPlOqentcmuDFLZkaYYomsnYVLEtJeJOXyXCqwkqzJoxEHpyAzYZODHPqYL ,45-54,Enterprise
