country,industry,ai_tool,adoption_rate,daily_active_users,year,age_group,company_size,estimated_users_per_year,new_users_2023_2024
Canada,Finance,ChatGPT,94.53,3010,2023,25-34,Enterprise,,
China,Finance,Stable Diffusion,0.21,1432,2024,35-44,Startup,,
UK,Finance,Midjourney,66.26,2740,2024,55+,Enterprise,,
Brazil,Finance,Midjourney,67.78,5660,2024,25-34,SME,,
India,Finance,ChatGPT,21.05,3524,2024,35-44,SME,,
Brazil,Finance,Midjourney,27.47,9988,2024,18-24,SME,,
China,Finance,ChatGPT,8.65,3309,2023,18-24,Enterprise,,
Australia,Finance,Midjourney,19.88,3053,2023,25-34,SME,,
France,Finance,Bard,35.48,3235,2024,25-34,Startup,,
Australia,Finance,Midjourney,99.48,7582,2023,18-24,Startup,,
Germany,Finance,ChatGPT,91.4,3475,2023,55+,Startup,,
Germany,Finance,ChatGPT,1.83,3792,2024,35-44,Startup,,
India,Finance,Midjourney,82.09,5651,2024,25-34,Startup,,
Australia,Finance,Midjourney,87.26,9803,2024,35-44,Enterprise,,
Brazil,Finance,ChatGPT,32.01,3071,2023,45-54,SME,,
France,Finance,Midjourney,67.47,8509,2024,18-24,SME,,
UK,Finance,ChatGPT,93.15,6699,2024,55+,SME,,
Canada,Finance,ChatGPT,47.87,4371,2024,18-24,Startup,,
South Korea,Finance,Midjourney,1.33,3314,2024,45-54,Enterprise,,
India,Finance,ChatGPT,5.31,8893,2023,25-34,Startup,,
Australia,Finance,ChatGPT,73.04,1063,2024,45-54,SME,,
Canada,Finance,Midjourney,56.9,8320,2023,45-54,SME,,
China,Finance,Midjourney,3.95,6008,2023,55+,SME,,
Brazil,Finance,Midjourney,80.84,5952,2024,18-24,SME,,
France,Finance,Stable Diffusion,63.11,1092,2024,25-34,SME,,
UK,Finance,Midjourney,28.7,8122,2023,18-24,SME,,
Canada,Finance,ChatGPT,35.9,5400,2023,45-54,Enterprise,,
South Korea,Finance,Midjourney,85.71,854,2024,45-54,Enterprise,,
South Korea,Finance,Midjourney,3.82,1360,2024,55+,Startup,,
China,Finance,ChatGPT,88.07,9198,2024,18-24,Startup,,
India,Finance,Claude,79.19,326,2023,45-54,SME,,
USA,Finance,Stable Diffusion,52.9,770,2024,55+,Startup,,
Brazil,Finance,ChatGPT,2.61,9233,2023,18-24,Enterprise,,
Brazil,Finance,Midjourney,90.27,6127,2024,45-54,SME,,
UK,Finance,Midjourney,72.6,1265,2024,35-44,Enterprise,,
Canada,Finance,Midjourney,67.35,2491,2024,55+,Enterprise,,
Brazil,Finance,ChatGPT,95.61,7022,2024,18-24,SME,,
Australia,Finance,Midjourney,58.54,6740,2024,35-44,SME,,
USA,Finance,Bard,41.46,4175,2024,18-24,SME,,
UK,Finance,ChatGPT,10.02,2050,2024,45-54,SME,,
Brazil,Finance,ChatGPT,12.05,5716,2023,45-54,SME,,
Australia,Finance,ChatGPT,33.29,3340,2024,35-44,Startup,,
Germany,Finance,Stable Diffusion,1.32,2761,2024,25-34,Startup,,
Brazil,Finance,Claude,12.02,3052,2023,35-44,Enterprise,,
UK,Finance,ChatGPT,90.3,6888,2024,18-24,Startup,,
South Korea,Finance,Midjourney,47.48,893,2024,55+,Enterprise,,
UK,Finance,Bard,51.17,8935,2024,25-34,Enterprise,,
China,Finance,ChatGPT,86.83,2445,2024,25-34,Startup,,
France,Finance,Midjourney,21.94,4806,2024,18-24,Enterprise,,
Australia,Finance,ChatGPT,78.87,4426,2024,55+,SME,,
UK,Finance,Midjourney,65.17,3580,2024,18-24,SME,,
Germany,Finance,ChatGPT,3.34,4276,2023,25-34,Startup,,
UK,Finance,Stable Diffusion,43.72,2833,2024,18-24,SME,,
South Korea,Finance,Midjourney,15.86,3555,2024,25-34,SME,,
South Korea,Finance,Bard,32.38,7766,2023,25-34,Startup,,
India,Finance,Midjourney,83.49,2031,2024,55+,SME,,
South Korea,Finance,Midjourney,15.29,4681,2023,55+,SME,,
Brazil,Finance,Stable Diffusion,91.87,6801,2024,55+,Startup,,
USA,Finance,Midjourney,49.23,7474,2023,18-24,Enterprise,,
UK,Finance,ChatGPT,52.98,5226,2023,35-44,SME,,
Brazil,Finance,ChatGPT,98.87,2301,2024,45-54,Enterprise,,
France,Finance,Midjourney,72.37,3226,2023,55+,Startup,,
Canada,Finance,Midjourney,43.02,4023,2024,55+,Enterprise,,
Brazil,Finance,Stable Diffusion,6.3,2001,2024,18-24,Enterprise,,
USA,Finance,Claude,79.73,3921,2024,18-24,Enterprise,,
India,Finance,ChatGPT,12.57,4546,2024,35-44,SME,,
Germany,Finance,ChatGPT,0.77,5517,2024,55+,SME,,
Australia,Finance,ChatGPT,88.5,3999,2024,55+,Startup,,
UK,Finance,Midjourney,86.57,1565,2024,45-54,Startup,,
India,Finance,Stable Diffusion,84.93,9635,2024,55+,Startup,,
India,Finance,ChatGPT,41.78,4003,2023,18-24,SME,,
Australia,Finance,Midjourney,63.71,2756,2023,45-54,SME,,
USA,Finance,Stable Diffusion,96.68,7028,2023,25-34,Startup,,
India,Finance,Midjourney,55.95,6018,2024,35-44,SME,,
Canada,Finance,ChatGPT,17.51,7345,2023,18-24,SME,,
UK,Finance,Midjourney,31.57,9643,2023,55+,Startup,,
USA,Finance,Stable Diffusion,1.25,2861,2023,35-44,Enterprise,,
France,Finance,Bard,57.51,9991,2024,25-34,Startup,,
UK,Finance,ChatGPT,8.28,7396,2023,55+,SME,,
Australia,Finance,Midjourney,6.2,4718,2024,25-34,Enterprise,,
South Korea,Finance,ChatGPT,31.15,8094,2024,25-34,Enterprise,,
Brazil,Finance,Claude,59.64,1147,2024,18-24,SME,,
USA,Finance,Stable Diffusion,91.77,7611,2024,45-54,SME,,
France,Finance,ChatGPT,10.3,6811,2024,45-54,Enterprise,,
Brazil,Finance,Stable Diffusion,76.81,1383,2024,45-54,Startup,,
Canada,Finance,Midjourney,79.74,5756,2024,55+,SME,,
India,Finance,ChatGPT,5.4,8112,2023,35-44,Enterprise,,
UK,Finance,Midjourney,49.57,8882,2024,55+,Enterprise,,
Brazil,Finance,ChatGPT,15.05,8536,2024,25-34,Startup,,
Brazil,Finance,ChatGPT,57.37,5675,2024,55+,SME,,
UK,Finance,Midjourney,79.48,797,2023,45-54,Startup,,
Germany,Finance,ChatGPT,76.27,7645,2023,55+,Enterprise,,
Brazil,Finance,ChatGPT,21.2,505,2024,35-44,Enterprise,,
South Korea,Finance,ChatGPT,7.32,5443,2024,35-44,Enterprise,,
USA,Finance,ChatGPT,37.42,3398,2024,35-44,SME,,
Germany,Finance,Stable Diffusion,78.26,8224,2024,45-54,Enterprise,,
Australia,Finance,ChatGPT,54.46,2138,2024,18-24,SME,,
Germany,Finance,Stable Diffusion,99.92,9905,2024,25-34,SME,,
Australia,Finance,ChatGPT,12.44,3607,2024,45-54,Enterprise,,
France,Finance,Stable Diffusion,75.67,7589,2023,35-44,Enterprise,,
UK,Finance,Midjourney,26.57,2474,2024,25-34,Enterprise,,
India,Finance,ChatGPT,81.81,2531,2024,45-54,Enterprise,,
Germany,Finance,Bard,86.45,8272,2023,35-44,Startup,,
Germany,Finance,Stable Diffusion,96.2,7485,2024,45-54,Startup,,
USA,Finance,ChatGPT,65.49,9001,2024,25-34,SME,,
Brazil,Finance,Midjourney,95.52,1804,2024,35-44,Startup,,
UK,Finance,Stable Diffusion,45.16,1215,2024,35-44,Startup,,
Canada,Finance,Stable Diffusion,42.71,9465,2024,25-34,SME,,
South Korea,Finance,ChatGPT,85.35,4060,2024,55+,Enterprise,,
France,Finance,Midjourney,58.64,4301,2023,45-54,SME,,
Germany,Finance,Stable Diffusion,39.32,5662,2023,35-44,SME,,
Australia,Finance,Stable Diffusion,1.49,3161,2024,18-24,Startup,,
Australia,Finance,Midjourney,50.32,9725,2023,45-54,SME,,
USA,Finance,Midjourney,31.38,4337,2023,18-24,Startup,,
China,Finance,Bard,30.69,1946,2024,55+,Startup,,
China,Finance,Midjourney,84.6,7292,2024,18-24,SME,,
France,Finance,Midjourney,90.23,9917,2024,55+,SME,,
Germany,Finance,ChatGPT,73.59,3275,2024,18-24,Enterprise,,
Brazil,Finance,ChatGPT,25.18,5928,2023,35-44,Enterprise,,
South Korea,Finance,ChatGPT,15.27,8085,2024,55+,SME,,
UK,Finance,Bard,24.47,1742,2023,35-44,SME,,
USA,Finance,ChatGPT,64.13,1843,2024,25-34,Enterprise,,
Brazil,Finance,Stable Diffusion,23.18,3713,2024,45-54,SME,,
Australia,Finance,ChatGPT,5.96,6644,2024,35-44,Startup,,
France,Finance,ChatGPT,78.45,9619,2023,45-54,SME,,
China,Finance,ChatGPT,54.76,4548,2023,45-54,SME,,
France,Finance,Stable Diffusion,49.19,2764,2024,25-34,Startup,,
UK,Finance,Midjourney,47.0,2596,2023,18-24,SME,,
South Korea,Finance,Stable Diffusion,12.63,6116,2024,18-24,SME,,
South Korea,Finance,Claude,7.35,5489,2024,25-34,SME,,
Canada,Finance,ChatGPT,7.26,2692,2024,45-54,Startup,,
South Korea,Finance,ChatGPT,5.74,5280,2024,35-44,Enterprise,,
South Korea,Finance,Midjourney,53.52,4592,2024,45-54,Startup,,
Australia,Finance,Stable Diffusion,92.7,3032,2023,35-44,Startup,,
France,Finance,Midjourney,92.99,4507,2024,18-24,Startup,,
France,Finance,Midjourney,47.59,8790,2024,35-44,Startup,,
France,Finance,Midjourney,68.61,6948,2023,55+,Enterprise,,
Germany,Finance,Midjourney,18.53,6613,2023,55+,Startup,,
Germany,Finance,Midjourney,72.2,1394,2024,35-44,Startup,,
Australia,Finance,Midjourney,71.36,7377,2024,25-34,SME,,
USA,Finance,Midjourney,86.84,1725,2024,25-34,Enterprise,,
France,Finance,ChatGPT,95.26,6637,2024,55+,Startup,,
Brazil,Finance,ChatGPT,29.48,6501,2024,45-54,SME,,
USA,Finance,Midjourney,36.57,7695,2024,25-34,Startup,,
Brazil,Finance,Bard,79.4,818,2023,35-44,SME,,
USA,Finance,Midjourney,6.28,3752,2024,18-24,Startup,,
USA,Finance,Midjourney,8.48,7798,2024,45-54,Enterprise,,
India,Finance,ChatGPT,24.87,6653,2024,45-54,Startup,,
Brazil,Finance,Stable Diffusion,21.05,1101,2024,25-34,Startup,,
Brazil,Finance,Claude,60.88,2623,2024,35-44,SME,,
Brazil,Finance,ChatGPT,95.03,542,2023,35-44,Enterprise,,
Canada,Finance,ChatGPT,22.53,4107,2024,45-54,SME,,
Canada,Finance,ChatGPT,14.1,4109,2024,18-24,SME,,
India,Finance,ChatGPT,75.21,8666,2023,35-44,Startup,,
Australia,Finance,Midjourney,36.92,3661,2024,55+,SME,,
Canada,Finance,ChatGPT,45.6,5907,2024,18-24,Enterprise,,
Germany,Finance,ChatGPT,90.47,1389,2024,55+,Enterprise,,
USA,Finance,Midjourney,15.29,3236,2023,35-44,Startup,,
China,Finance,ChatGPT,37.83,8031,2023,35-44,SME,,
USA,Finance,ChatGPT,49.05,1517,2024,25-34,Startup,,
India,Finance,Midjourney,56.24,2245,2024,55+,SME,,
Canada,Finance,ChatGPT,10.4,8500,2024,18-24,Enterprise,,
Canada,Finance,Bard,37.73,4006,2024,35-44,Enterprise,,
Canada,Finance,ChatGPT,55.69,4573,2023,35-44,Enterprise,,
France,Finance,ChatGPT,43.01,3145,2024,45-54,Startup,,
UK,Finance,Midjourney,24.32,5300,2024,18-24,Enterprise,,
China,Finance,Bard,33.77,6796,2024,55+,Startup,,
France,Finance,Midjourney,73.3,5071,2024,55+,Startup,,
Germany,Finance,Midjourney,46.79,4498,2024,45-54,Startup,,
Canada,Finance,ChatGPT,30.01,9415,2024,18-24,Startup,,
South Korea,Finance,ChatGPT,44.19,8147,2024,25-34,Startup,,
South Korea,Finance,Midjourney,97.94,1677,2023,18-24,Enterprise,,
Australia,Finance,ChatGPT,93.88,3479,2024,45-54,Startup,,
South Korea,Finance,ChatGPT,82.24,3593,2024,18-24,Enterprise,,
Brazil,Finance,ChatGPT,57.49,667,2024,35-44,SME,,
France,Finance,Bard,10.96,7931,2024,18-24,SME,,
UK,Finance,ChatGPT,9.26,3188,2024,25-34,Startup,,
China,Finance,ChatGPT,64.77,3625,2024,25-34,SME,,
USA,Finance,Midjourney,44.2,1431,2024,18-24,SME,,
China,Finance,ChatGPT,94.09,5338,2024,25-34,SME,,
Australia,Finance,Stable Diffusion,38.9,4446,2024,45-54,Startup,,
India,Finance,Bard,29.16,9620,2024,55+,Startup,,
USA,Finance,Midjourney,90.0,4409,2024,18-24,SME,,
Brazil,Finance,Stable Diffusion,36.4,5887,2024,35-44,Startup,,
South Korea,Finance,Bard,49.6,6672,2023,25-34,SME,,
France,Finance,Midjourney,26.03,9953,2024,25-34,Enterprise,,
Germany,Finance,ChatGPT,29.65,1571,2024,18-24,Enterprise,,
Canada,Finance,Midjourney,67.15,8074,2024,18-24,SME,,
France,Finance,ChatGPT,89.07,4513,2024,18-24,Startup,,
China,Finance,Midjourney,2.72,9983,2024,18-24,Enterprise,,
Germany,Finance,ChatGPT,91.86,5612,2024,35-44,SME,,
UK,Finance,ChatGPT,61.41,6846,2023,55+,Enterprise,,
South Korea,Finance,ChatGPT,58.44,3476,2023,25-34,Enterprise,,
China,Finance,Midjourney,62.87,2414,2023,18-24,Startup,,
