country,industry,ai_tool,adoption_rate,daily_active_users,year,age_group,company_size,estimated_users_per_year,new_users_2023_2024
Canada,Healthcare,ChatGPT,96.23,408,2024,45-54,SME,,
Australia,Healthcare,Stable Diffusion,88.07,1366,2024,45-54,Startup,,
Australia,Healthcare,Midjourney,17.3,7567,2023,25-34,SME,,
UK,Healthcare,Claude,0.62,2751,2024,25-34,SME,,
China,Healthcare,Midjourney,91.67,9496,2024,45-54,SME,,
UK,Healthcare,ChatGPT,48.31,7246,2024,45-54,Enterprise,,
Australia,Healthcare,Midjourney,36.58,503,2024,55+,Enterprise,,
India,Healthcare,ChatGPT,90.82,300,2024,45-54,Enterprise,,
South Korea,Healthcare,Bard,93.19,8582,2023,25-34,Startup,,
Germany,Healthcare,Midjourney,65.62,6987,2024,18-24,Enterprise,,
Australia,Healthcare,Stable Diffusion,4.68,2940,2024,45-54,Startup,,
Brazil,Healthcare,Stable Diffusion,54.04,2588,2023,35-44,SME,,
Brazil,Healthcare,Stable Diffusion,70.42,5212,2024,45-54,SME,,
Brazil,Healthcare,ChatGPT,80.41,9589,2023,18-24,Startup,,
India,Healthcare,ChatGPT,9.22,2002,2024,35-44,Startup,,
India,Healthcare,Midjourney,88.49,1300,2023,25-34,Startup,,
France,Healthcare,ChatGPT,85.9,4521,2024,55+,Enterprise,,
UK,Healthcare,Stable Diffusion,44.61,9169,2024,35-44,Startup,,
Germany,Healthcare,Midjourney,93.73,7307,2024,35-44,SME,,
South Korea,Healthcare,Midjourney,82.19,410,2023,18-24,SME,,
France,Healthcare,Bard,69.26,4406,2024,55+,Startup,,
Canada,Healthcare,Midjourney,11.66,1464,2024,25-34,Enterprise,,
Canada,Healthcare,Midjourney,16.1,3274,2023,55+,Enterprise,,
USA,Healthcare,Midjourney,12.33,414,2023,25-34,SME,,
USA,Healthcare,Bard,40.88,5764,2024,55+,Startup,,
Germany,Healthcare,Midjourney,32.29,9595,2024,35-44,Startup,,
South Korea,Healthcare,Midjourney,50.72,8206,2024,25-34,Startup,,
France,Healthcare,Claude,9.25,7071,2024,18-24,SME,,
UK,Healthcare,Claude,24.68,9180,2024,35-44,SME,,
UK,Healthcare,Bard,38.03,9278,2023,45-54,SME,,
Brazil,Healthcare,ChatGPT,39.07,7751,2024,25-34,SME,,
Australia,Healthcare,ChatGPT,20.61,7037,2023,55+,Enterprise,,
Germany,Healthcare,ChatGPT,9.78,9642,2024,25-34,SME,,
Germany,Healthcare,Bard,2.28,8722,2024,45-54,SME,,
Germany,Healthcare,Claude,9.71,9558,2024,25-34,SME,,
Canada,Healthcare,Bard,19.64,9511,2024,35-44,Enterprise,,
USA,Healthcare,Bard,21.25,9480,2024,25-34,Startup,,
Brazil,Healthcare,Stable Diffusion,9.55,8705,2024,25-34,Enterprise,,
UK,Healthcare,Midjourney,76.33,867,2024,45-54,Enterprise,,
China,Healthcare,Midjourney,53.9,6574,2024,25-34,SME,,
UK,Healthcare,Midjourney,42.54,8065,2024,35-44,Startup,,
France,Healthcare,Stable Diffusion,80.02,7430,2024,25-34,Enterprise,,
USA,Healthcare,Stable Diffusion,0.65,9765,2024,18-24,Enterprise,,
USA,Healthcare,ChatGPT,10.48,2383,2023,35-44,SME,,
Germany,Healthcare,ChatGPT,29.54,6529,2024,55+,Startup,,
UK,Healthcare,Bard,25.95,2193,2024,45-54,Startup,,
India,Healthcare,Stable Diffusion,37.61,1998,2024,55+,SME,,
Australia,Healthcare,ChatGPT,18.27,5857,2024,25-34,SME,,
UK,Healthcare,ChatGPT,19.64,821,2023,25-34,Enterprise,,
Australia,Healthcare,Midjourney,52.09,1430,2024,18-24,Enterprise,,
Germany,Healthcare,Stable Diffusion,6.39,3021,2024,45-54,SME,,
UK,Healthcare,Claude,17.32,3609,2024,35-44,Startup,,
France,Healthcare,ChatGPT,96.84,8759,2023,18-24,Startup,,
Canada,Healthcare,ChatGPT,1.88,587,2023,45-54,Startup,,
Germany,Healthcare,ChatGPT,93.75,590,2024,25-34,Startup,,
Germany,Healthcare,ChatGPT,98.01,5897,2024,18-24,Startup,,
Canada,Healthcare,Midjourney,28.32,6883,2023,25-34,Startup,,
