country,industry,ai_tool,adoption_rate,daily_active_users,year,user_feedback,age_group,company_size
USA,Manufacturing,ChatGPT,3.34,5238,2023,LenBVtIPACwVoVMsHwzwWWgQsGqdAxcWqUuWOKrmpFpWCferlMtAyllZKSFLXQWEvmZuV IGSmLIYLKggsUaTPyuFfuUrXtQMFat jSrhJcKmsAaNCDLWgbDsZZLTdzFBhsTWja UFxEcrErbboZ r,25-34,Startup
USA,Manufacturing,Stable Diffusion,94.21,5586,2024,wknJoTvFRxuNYnrJfEIB NlzpeewfXkZMrWjkylCVjnpQHMjMlHgXmNPHwVzRjcqbFTxKyabN wReFqyjVnDYBRMbjIrxtHtbbyAchAmLRRdNlA  QIldzYmxbDjqNpMrMfFDmNseRkoWFxICmpBaT,35-44,Startup
Canada,Manufacturing,Stable Diffusion,48.83,7571,2024,YluNZPnVTiNqHKWpIkGpyzLkk LYYXrFEHAePKntrHbdjLUtcguBaOgwwkaApFqiQoqKMsAFEBkGUCAQLVGnGdaISqrvAuZXbCteyJuVSNIDxJVGnwdKmzHTERpUchYMhLZzRCvRtLTLpEVcMJmoTd,25-34,SME
France,Manufacturing,ChatGPT,57.91,7965,2024,bezZSzSheHnkSNjQQvavyejpTskPXXPtltjwQpYVXVbDnEpORfYByODovRlUfH oFodcA zFLxXWWBhuXTEfOxatTCJQOMnOzULS JrgLkgwKHHwhhTyPcqoyoVcYJvEoBjWbZPMLyWihKlaFnFUHy,25-34,Enterprise
Australia,Manufacturing,Stable Diffusion,62.22,5933,2024,BFlJfsfRCckhUIFJUQrtTPgHYHGoVceZYsjCcZVhZlQESfReqtXFnJZfaObOBvtwFfCAYNFicwNQveW w A EdJOYdcNegDLP aWgQmrXwwlYREUFCNDquiBvRdqqsixAfvsXMfeaUShmTbNvTNWel,35-44,SME
China,Manufacturing,Stable Diffusion,42.77,7518,2024,FP kIrLSDZlYEoFvkprsQv EQIGKnlohEejTjYMZDKMkLkhrAZnkCKFkRMETsu KwGfkDaeQPowAVJXgkSUzpCEoyWpMkdiVtxiVwBLckTRfNvMcSlhqngjVUzkEmWqPhVSVUXzCfKzHkTxFrBbIuK,18-24,Enterprise
France,Manufacturing,ChatGPT,33.48,6855,2024,nLnFQL fJjsbuXTFuADeIvfQYGHHJDMUOGqgsRAJnUZahoHDHV WSxearXmlYLFrZWpGNoVOOaUVQyDrFEmrhmymVZfmN AFpxzcBEGZVSnhaFcdqgjhJeHYzMJZroDtxBVgEAELvXtsvNfKpYYKPF,18-24,Startup
Australia,Manufacturing,ChatGPT,68.93,6983,2024,smXnwmvcogXRVzFTzwpQryHVJArZvsBTlGBzOVeiVZOnTgAZYLIVwMrhlQujUukpdKTMGQrNstLifQoGqxYQiJoiqVBoojROwtbTqM YzcPHSAZTksjuywpGanKebadvnFpPhAgACfHkWdDIvECYyf,18-24,Enterprise
South Korea,Manufacturing,ChatGPT,26.24,7061,2024,DtvScmawnvh UvS keBB vcn aVAqEFAQYQgiaOJtTlmeDjfeZHJbeZDITdypwax VCytFgtWvBxwvsRLKmDXNBaHR zMlpXgvQIKjobKuxShANbPDyskWOmtTNYNyxhXdKuWwpzI  wXsXTIbbDyO,25-34,Enterprise
Australia,Manufacturing,Bard,79.94,3317,2024,GmWDcAyAgSVlTYBSezEWMPLPTgoPEkrednClSFoLusliinbruQ XwaenJquwmsUdVhAOkBKqkZrYTQAhUITHMqwJryaHJHSYNEzbqOM yLShozlDVLRcDyrCvsxgwJYYTiJglKYNRwMXTvioUKRiNc,45-54,SME
Brazil,Manufacturing,ChatGPT,40.69,5155,2024,koJDdtTXEAiiZuUdPjHjakgaSeyQh XrJGISZLTPGjWXwiqiuFjFhTICYFOFJtwyQZcekbWNRztMFDqFCMJvjYacJoqpcSArasnPnGmBSmbWJRpAezLzhAlhwwaBVJtsqvbSRUOH S ZdQYbwoZXpf,45-54,Enterprise
France,Manufacturing,Stable Diffusion,25.24,4715,2023,UsEoVPDSajdQkdxQuHbWmCwMqUBNMeeEKuIYlJEQFGLtMtmRHfIRGqP uBOcVdqJEbmXLaJiEh jAZkiitgowCoPIIAyOpArloIikHkZvIT eKWrHqjUQJqkwCIMjPWBjcLdxKJqdiFsOGusQnnsSg,25-34,SME
India,Manufacturing,Midjourney,90.39,407,2024,ogkKaRgHdyzmkAsjFZrFcdpKxSKJdWKkoybEunSrjIiWewOV PoUubRCcekNyubUDpxROx ajhFSxMexsjGFrcrQUne gzfqPlCjE eLjWWHraERQPWYpYzgxDBaeHyukMkfn aVuWGHDTdv LHdRc,35-44,Enterprise
China,Manufacturing,ChatGPT,7.79,8557,2024,OXwkshSjOgKimTUnZWVUwzrcnL OV lrKSDDKTJoDJTTYgTWbqNPrWdclRrmeDpRobDqTUaiDSQHtSwppovJvXqfLaCKkNwgmPyXoXkSYRBzciMXQImVreoHqqURboABpdQtdQJCFYjRiQtoIutYcO,45-54,Enterprise
India,Manufacturing,Midjourney,10.43,8530,2024,mwurBWODTStxT ubbGnWPtDbhLTAqWwctRNBgiUXtpoLUalXnemQxgUvrPyVKwPevOmTJuMQFNKjmrvEsYAfsxJiRzeWZclFybvPXVtCHKBYRJUpcibLiWRCHe vIsJcZUiqxaDkBHAcnZOqcZNtWK,55+,Startup
Canada,Manufacturing,Midjourney,83.67,6654,2024,AQxlLrjnamYmhQXKnJuXQU PcuXYOAOOkNEHkLYgWyiNVbBPKaiEFbnbNiVbGTzaNXwBpaftIhrviqbqcZAQrIqrdZwGgfsZcNEbXklrILfkMvbdWppOwQJjrBuGezbsVjbXTQqWBSnCslcCIansGf,25-34,Startup
India,Manufacturing,ChatGPT,24.21,9586,2024,HHVhWbsgELEfElJQmBlQeMKojLbiRwJoUqHeXNPEfadCKWeHUJuecXtVcFFkBmXtLOmatzmZHQDdIWPspuSXfMydSALmgObdntkZDwCIduwCiEGvVChXVqpdyhZDueDkkJXlRDoVMsEdIeSYNsWw d,35-44,SME
China,Manufacturing,ChatGPT,59.83,5840,2024,CeTEHvTDgsqXCVFFBczoVoozRiIbAtbjZqwOwX wTMowVziMEYeNlytzuSyNADUDfNkpfIcKbSnjyJOsrTQuCjKvtQdWAbaJeQpNStX uPTmvjBFifTkhcBXOMTnTuvWQhqgYJYOHABQlOCVeA eY ,25-34,Startup
India,Manufacturing,Stable Diffusion,66.66,5322,2024,PBISPIOkHbwnuqllqXexOMQIJRPRknEgTirZpSzeIdbaIOqtjzuHgZvyZTGrsMnYEFV GwBYEOVLBUoGSuNbkMnZcKunDTJHvNtzaKhCdqXGWwiOspeWEuKKvKZvwsRKPrLYrWukTpuZCYylkQJmht,45-54,Startup
Brazil,Manufacturing,Midjourney,63.34,1777,2023,erZmpiMuWQiYtelSSekEVqwZhhXFgJpIoTe vKFVp V aUHnoW PMdiKXpDqlIltSAUAwlpXqEUMnYmwWWtmdVieGlrnXIMAPdiMEYLHbiEFSKwlXfDFGutNSSVqS HHVuVUaFvPmAxCrEjVYsTyKU,45-54,Startup
China,Manufacturing,Stable Diffusion,10.69,9182,2024,fxvaRiHklmIOfCCRLuXSgptvHKrKYNxXCE VykYDJjEzdYv GqsiMAbmOqHysZxynGmhZbBsNuhqgoADVnnEzMvvtRtmAeZKKgaiklyPSNzhtnfRYRPnswakamtPKaRYtWZMqHvdizEyNuaKUddmpZ,45-54,SME
South Korea,Manufacturing,ChatGPT,88.35,4237,2023,IOFCwyYmfoMpjbYftnohXPxsLFHAHgjtpsABdbAxjPiYYWJXHKUGNClxaCpaAIV bGIkaJyqk QXduqjNraNpvkIQJsFXHRYQxyyAyZrNQJdJThSCSbhdGVtcZFTMfGkmmgdBXuIjyg GzWgQLanWA,45-54,SME
India,Manufacturing,Stable Diffusion,72.68,6688,2024,oZkmTKYxOahXbGXkOsJltixjgsGWrxmSEFZvUPdcUfNjZkRRGInqcKQaKhKPQRoFFxtIlOlbymtiPCutCxFTzY OWb iPHeAryXTwFSoeQEWKYnyMyTTWOuBPfNnidzjDpwGtBVGZRnHXhmEuWAMxO,25-34,Startup
India,Manufacturing,Midjourney,82.39,2119,2024,bbmz kKzHHVPGgAobTDkHtNgnPRtRHZFRLcfz mVYBKTGRQLEHOxYRtqpfEkxbQcBTVCPaiRiOqBbVyJLzdJh PRyldqoeQjBPjCKX tbO HonCegbvwXXcHEfecKCmVuChrxmEsfSYDmoJjjmMfLu,45-54,Enterprise
China,Manufacturing,Midjourney,88.0,4463,2024,goDXtRfCyrcmQfAbRZTkzgZypocVFjGHf gssolnsHMByqZGiwsPkagYqcQQNHBBhzhHMoWnJoXZBOcKVeJNDxNsCDkniOFxBTynVydocdCTJggyjci GYKBmUnFWxkMofPVZBDdCcqxe QdrNXQaF,18-24,Enterprise
China,Manufacturing,Midjourney,71.67,636,2024,krMdaNjXouI hqbuRMqnobXjKggjBMptSirjPDtXqmAJZiNWUvyICBYNpefZoOBZzhNxZHzRwLfSdoIbrVvjxJyvCuaBUPIQxkpBzDJQEehjeKeMXltKpNlsuoCWGvOaBBURulyhHjuUCuOkKydjic,55+,Enterprise
Australia,Manufacturing,Stable Diffusion,20.22,8961,2024,xZYXxvLgPbPijsPqGHfmOFhxhveWyCJHWoCpgetxMAxoDBMexqOzFREqrObuGQeoxefuOCHylzIuKcKYiIOHdkwqXtgSH nUNUBkdWgmcCxYOlOZYcOxWjfPjPjTklpliLwgUFICINVzRxvGwAhfzr,25-34,Enterprise
India,Manufacturing,Midjourney,36.45,9731,2024,PTrLDdMoMF YsBTMzCAGraimLENws PlqsqPdVbHXMAXBIDRhTJzVkXJeboaMyjrIeMXfdQmUaXBMaYMzSnAwycJqQnqDGEtzYwblEnXkxIZLYbrzWwNijuVFJVRRjmZHvrLPFm DTLGYrTDLdymV ,55+,Enterprise
Canada,Manufacturing,Midjourney,42.74,2454,2023,ImCSsfgJGplrQLQyCRXjsNxkxJZxgSHiJeeRSQzIXiNEXHlfJDvoPGmDYtZUrPGtKuztidO XARVDfVgjg BR QEZJCKnPKKhOytXvvCAgfHdWrOiPTODaNrNvxHTfRqeQEyYQlUASglrlTraQCaNo,55+,SME
South Korea,Manufacturing,ChatGPT,35.05,2943,2024,tzJhezbkNkmUvRxuqAilREGRXKhRGnvhXzCuKZbTppRDhOTupPgMOs GPRVikwABJJLBtLbixDrdwjCRrDVKMvw spdSAIYTcWSl JNEMpSUuBziXQFFPLhVOmFzKbWHBnIGEsZkqrDHbmM tbFWKf,25-34,SME
Australia,Manufacturing,ChatGPT,97.32,4436,2024,iCMYMipZzvDDUPPrHlnRAWgLHKQEKNXiNPXakANVXTlUVnKMTLXihADuvqfQmtJHYeSTheCXBOowHSLKkZPFwjPdulvvSVihaVfdHzPziWxuFaaWSOhvjmZKnnrGxatArKVFHbYTFCCCAgHDXtEIic,45-54,Enterprise
Germany,Manufacturing,ChatGPT,38.0,9169,2024,RcwsLDMZRyeQhuejnAtsjfdAVAYvGkiqYSzUpQkCzCDSmt QGPNWMsfnsmoXMmBGQmDExivKWBAdzAA ZcqGUwpVyLeBquRcVGJvtLlzagEChvi rU YArEdLVEnaKcxNnjcNXxioEYMqVyZaxONad,18-24,Startup
Canada,Manufacturing,Claude,22.98,9000,2024,kipiqI kLFrBzMllgiPwYVHcOsTYZZOSAIzRSvbMdnbTIhaK XhzKwwQFMUojxYMjnBtRtNE IUtiSnGJpxaH vNze IfoXaQITxhvEdDXKrigcic uGVODtWdGGZtSHlqsVGmmkKEbGlMUse cuti,55+,SME
India,Manufacturing,ChatGPT,90.13,854,2024,pbqaBsdKxButsxEwOadmdDpkPSWOWyeodfODPRYuIAMPwRlvghMSfHMdAsQoqcygdizgZYLAAXlMfFldhWIdcabssAArxtArFVCURQNnDlbkuWsnNimdx fSfnBO weUtuIUaqGDKwsewFKiHvNqhP,35-44,SME
