country,industry,ai_tool,adoption_rate,daily_active_users,year,age_group,company_size,estimated_users_per_year,new_users_2023_2024
South Korea,Retail,ChatGPT,40.16,8023,2024,18-24,SME,,
India,Retail,Midjourney,10.47,8963,2024,25-34,Enterprise,,
China,Retail,Claude,33.22,228,2023,18-24,Enterprise,,
Canada,Retail,ChatGPT,8.21,6279,2024,35-44,Startup,,
Germany,Retail,Stable Diffusion,1.18,6449,2024,18-24,Startup,,
India,Retail,ChatGPT,28.03,6819,2024,18-24,Startup,,
Australia,Retail,Midjourney,20.43,7146,2023,25-34,Startup,,
Australia,Retail,Claude,9.68,6993,2024,18-24,Startup,,
India,Retail,Midjourney,61.97,2312,2024,18-24,Startup,,
UK,Retail,ChatGPT,92.3,7778,2024,55+,Startup,,
USA,Retail,Stable Diffusion,36.6,3785,2024,45-54,Enterprise,,
Canada,Retail,ChatGPT,30.56,2094,2024,25-34,SME,,
Australia,Retail,Bard,31.01,2868,2024,35-44,Enterprise,,
Australia,Retail,ChatGPT,43.95,6944,2024,45-54,SME,,
Germany,Retail,Midjourney,37.39,1317,2024,35-44,SME,,
Canada,Retail,Midjourney,99.63,5502,2024,25-34,SME,,
UK,Retail,Midjourney,56.17,4479,2024,55+,Startup,,
Australia,Retail,Midjourney,46.06,4141,2024,35-44,Startup,,
Brazil,Retail,ChatGPT,80.98,3995,2024,18-24,Startup,,
Australia,Retail,Stable Diffusion,52.29,9712,2024,55+,Enterprise,,
USA,Retail,ChatGPT,93.68,3842,2024,45-54,Startup,,
USA,Retail,ChatGPT,71.4,9489,2024,55+,SME,,
South Korea,Retail,Stable Diffusion,33.59,4689,2023,55+,Startup,,
South Korea,Retail,ChatGPT,0.32,3933,2023,18-24,SME,,
USA,Retail,Midjourney,19.71,1446,2023,55+,Startup,,
Canada,Retail,Stable Diffusion,47.61,3728,2024,35-44,SME,,
USA,Retail,Midjourney,5.38,4325,2023,18-24,Startup,,
India,Retail,ChatGPT,51.11,1081,2023,18-24,Startup,,
South Korea,Retail,Midjourney,60.44,3725,2024,55+,SME,,
Brazil,Retail,Midjourney,99.54,2756,2024,35-44,Startup,,
Germany,Retail,Midjourney,23.5,4343,2023,45-54,Enterprise,,
Australia,Retail,Bard,51.57,7805,2024,55+,SME,,
Australia,Retail,Midjourney,2.35,1662,2024,25-34,SME,,
Germany,Retail,Midjourney,69.41,7759,2024,25-34,Enterprise,,
China,Retail,Midjourney,49.63,7284,2024,35-44,Enterprise,,
Canada,Retail,Bard,88.92,6423,2024,45-54,SME,,
Australia,Retail,ChatGPT,3.09,4870,2023,35-44,Startup,,
France,Retail,ChatGPT,72.08,1611,2024,55+,Startup,,
Australia,Retail,Midjourney,46.19,4377,2024,55+,SME,,
Germany,Retail,Bard,15.29,7070,2024,35-44,Startup,,
South Korea,Retail,Midjourney,78.35,7641,2024,18-24,Enterprise,,
France,Retail,ChatGPT,24.65,8353,2024,18-24,Enterprise,,
Brazil,Retail,Stable Diffusion,74.22,2058,2024,35-44,Startup,,
China,Retail,Bard,29.73,633,2023,55+,Enterprise,,
Canada,Retail,ChatGPT,68.28,5136,2024,55+,Startup,,
China,Retail,Midjourney,92.8,2727,2024,18-24,Enterprise,,
UK,Retail,Midjourney,73.03,5542,2024,18-24,Startup,,
UK,Retail,Stable Diffusion,62.73,8122,2023,25-34,Startup,,
Germany,Retail,Stable Diffusion,85.08,4221,2024,35-44,Startup,,
France,Retail,ChatGPT,3.85,2365,2023,18-24,Startup,,
USA,Retail,Midjourney,40.91,1485,2024,55+,SME,,
Germany,Retail,ChatGPT,81.49,3879,2023,18-24,Enterprise,,
Australia,Retail,Midjourney,32.01,6980,2024,45-54,Enterprise,,
France,Retail,ChatGPT,23.52,8972,2023,55+,SME,,
USA,Retail,Bard,59.46,1332,2024,55+,Enterprise,,
Germany,Retail,ChatGPT,47.83,9779,2023,35-44,SME,,
USA,Retail,Stable Diffusion,28.24,9476,2024,35-44,Enterprise,,
Brazil,Retail,Midjourney,28.35,5352,2024,45-54,Enterprise,,
Germany,Retail,ChatGPT,67.73,767,2023,25-34,Enterprise,,
France,Retail,ChatGPT,96.84,7910,2023,18-24,SME,,
USA,Retail,Stable Diffusion,2.64,5615,2024,35-44,Startup,,
Canada,Retail,Claude,53.57,747,2024,45-54,Enterprise,,
Brazil,Retail,Stable Diffusion,70.73,1274,2024,45-54,SME,,
Australia,Retail,Claude,26.92,6596,2024,25-34,Startup,,
UK,Retail,Midjourney,90.17,9935,2024,18-24,Startup,,
Germany,Retail,ChatGPT,26.64,7230,2024,45-54,SME,,
France,Retail,Midjourney,80.05,6773,2024,25-34,SME,,
Germany,Retail,ChatGPT,68.03,7553,2024,18-24,Enterprise,,
India,Retail,Midjourney,28.54,4861,2024,45-54,Enterprise,,
France,Retail,Stable Diffusion,51.81,6292,2024,35-44,SME,,
Canada,Retail,Midjourney,73.94,5525,2023,55+,Enterprise,,
India,Retail,Stable Diffusion,97.83,6665,2024,25-34,Enterprise,,
Brazil,Retail,Midjourney,23.34,1609,2024,45-54,SME,,
France,Retail,Stable Diffusion,62.9,1037,2023,45-54,SME,,
USA,Retail,ChatGPT,88.49,4173,2024,35-44,Enterprise,,
Australia,Retail,ChatGPT,39.32,5949,2024,18-24,Enterprise,,
China,Retail,ChatGPT,24.47,9870,2024,18-24,Startup,,
France,Retail,Bard,51.68,4723,2023,45-54,Enterprise,,
Germany,Retail,ChatGPT,32.69,9505,2023,25-34,SME,,
Canada,Retail,Midjourney,68.5,1296,2024,35-44,Enterprise,,
France,Retail,Midjourney,35.89,9903,2024,18-24,SME,,
South Korea,Retail,Stable Diffusion,42.59,6390,2023,35-44,Startup,,
Brazil,Retail,ChatGPT,35.27,6861,2023,25-34,SME,,
France,Retail,Midjourney,84.08,3090,2024,45-54,Enterprise,,
Canada,Retail,Midjourney,43.77,4047,2023,35-44,Enterprise,,
Australia,Retail,Bard,5.38,8385,2024,45-54,Startup,,
Brazil,Retail,Stable Diffusion,45.13,1066,2024,25-34,Enterprise,,
UK,Retail,ChatGPT,80.74,2842,2023,45-54,SME,,
Germany,Retail,Bard,54.21,7230,2024,45-54,Enterprise,,
India,Retail,ChatGPT,76.28,8585,2024,35-44,Enterprise,,
Germany,Retail,ChatGPT,5.83,8177,2024,18-24,SME,,
Germany,Retail,Bard,16.61,7892,2024,35-44,SME,,
