country,industry,ai_tool,adoption_rate,daily_active_users,year,age_group,company_size,estimated_users_per_year,new_users_2023_2024
USA,Technology,Midjourney,38.77,5313,2023,55+,Startup,,
Brazil,Technology,ChatGPT,37.71,8803,2023,25-34,SME,,
Germany,Technology,ChatGPT,41.89,4450,2024,55+,Startup,,
Australia,Technology,Stable Diffusion,75.71,6653,2023,35-44,SME,,
Brazil,Technology,Stable Diffusion,4.84,5941,2024,55+,Startup,,
Brazil,Technology,Midjourney,84.41,5714,2024,45-54,SME,,
Australia,Technology,ChatGPT,34.35,2060,2024,25-34,Enterprise,,
China,Technology,ChatGPT,25.08,9687,2024,25-34,Startup,,
Canada,Technology,Midjourney,59.58,4610,2024,18-24,SME,,
Germany,Technology,ChatGPT,2.92,3728,2024,55+,Startup,,
South Korea,Technology,Bard,95.8,6315,2024,45-54,SME,,
France,Technology,ChatGPT,79.55,1519,2024,25-34,SME,,
Brazil,Technology,Midjourney,32.39,769,2024,55+,Startup,,
France,Technology,Midjourney,59.53,8406,2024,18-24,SME,,
South Korea,Technology,Midjourney,16.49,6395,2024,35-44,Enterprise,,
Canada,Technology,Midjourney,93.2,8114,2024,35-44,Startup,,
India,Technology,ChatGPT,53.6,2381,2024,25-34,Enterprise,,
France,Technology,ChatGPT,80.46,8893,2024,45-54,SME,,
UK,Technology,ChatGPT,99.1,5430,2023,18-24,Startup,,
UK,Technology,Midjourney,80.6,2472,2023,35-44,SME,,
China,Technology,Midjourney,77.52,4663,2023,25-34,SME,,
Germany,Technology,Claude,92.41,231,2024,55+,Enterprise,,
Canada,Technology,Midjourney,65.0,8460,2023,55+,Startup,,
South Korea,Technology,Midjourney,5.07,663,2024,55+,Startup,,
South Korea,Technology,ChatGPT,52.93,5996,2024,18-24,Startup,,
Canada,Technology,Stable Diffusion,52.74,8405,2024,55+,Enterprise,,
USA,Technology,Midjourney,20.41,7436,2024,55+,Enterprise,,
USA,Technology,Midjourney,47.78,4581,2024,35-44,Enterprise,,
India,Technology,ChatGPT,58.86,2847,2024,45-54,Enterprise,,
Australia,Technology,Bard,83.21,525,2023,18-24,Startup,,
France,Technology,Stable Diffusion,28.75,6669,2024,55+,SME,,
UK,Technology,Midjourney,96.68,5317,2023,25-34,Enterprise,,
USA,Technology,ChatGPT,14.39,7149,2024,35-44,Enterprise,,
France,Technology,ChatGPT,52.79,6956,2023,55+,Enterprise,,
France,Technology,ChatGPT,54.51,4759,2023,45-54,Startup,,
Australia,Technology,Midjourney,62.84,3702,2024,35-44,Startup,,
China,Technology,Bard,10.16,5802,2024,35-44,SME,,
China,Technology,ChatGPT,10.14,8744,2023,35-44,SME,,
UK,Technology,Midjourney,10.71,7325,2024,35-44,SME,,
Canada,Technology,Stable Diffusion,31.57,5207,2024,45-54,Startup,,
UK,Technology,ChatGPT,25.46,6907,2024,25-34,Enterprise,,
Germany,Technology,Stable Diffusion,52.86,6509,2024,45-54,Startup,,
USA,Technology,Claude,49.67,3970,2024,35-44,SME,,
China,Technology,ChatGPT,40.41,820,2024,45-54,SME,,
Germany,Technology,ChatGPT,48.4,3906,2023,35-44,Startup,,
Germany,Technology,ChatGPT,7.9,6354,2024,55+,Enterprise,,
UK,Technology,Midjourney,12.04,8792,2024,25-34,Startup,,
Brazil,Technology,ChatGPT,51.03,6398,2024,25-34,Startup,,
South Korea,Technology,Midjourney,86.94,3486,2023,45-54,Startup,,
USA,Technology,Midjourney,23.98,471,2024,55+,SME,,
UK,Technology,ChatGPT,31.52,666,2024,18-24,Startup,,
Germany,Technology,ChatGPT,58.76,2097,2023,35-44,Enterprise,,
India,Technology,Midjourney,40.61,4796,2024,35-44,Startup,,
Germany,Technology,Stable Diffusion,67.92,8654,2023,18-24,Startup,,
Germany,Technology,ChatGPT,44.1,988,2024,55+,Startup,,
UK,Technology,Midjourney,5.19,2224,2024,18-24,Startup,,
Australia,Technology,ChatGPT,1.31,6757,2023,18-24,Startup,,
France,Technology,ChatGPT,35.4,7452,2024,45-54,SME,,
France,Technology,Bard,12.64,514,2024,45-54,SME,,
USA,Technology,Midjourney,54.8,4740,2024,55+,Enterprise,,
UK,Technology,ChatGPT,81.9,9438,2023,55+,SME,,
Brazil,Technology,ChatGPT,81.72,8940,2024,35-44,Startup,,
Brazil,Technology,Midjourney,33.37,945,2024,45-54,SME,,
Germany,Technology,Stable Diffusion,87.18,8056,2023,55+,SME,,
India,Technology,ChatGPT,77.26,8875,2024,45-54,SME,,
China,Technology,ChatGPT,19.51,8707,2024,45-54,SME,,
India,Technology,Midjourney,90.25,7328,2024,55+,SME,,
Brazil,Technology,ChatGPT,73.62,3566,2024,35-44,Enterprise,,
Brazil,Technology,Midjourney,19.26,2040,2024,25-34,SME,,
India,Technology,Midjourney,16.26,1584,2023,35-44,Startup,,
China,Technology,ChatGPT,79.97,4113,2024,18-24,Enterprise,,
UK,Technology,Midjourney,15.24,3926,2024,18-24,Startup,,
France,Technology,ChatGPT,99.51,9956,2023,55+,SME,,
South Korea,Technology,Midjourney,60.4,6601,2023,18-24,Startup,,
China,Technology,ChatGPT,88.91,6930,2024,25-34,SME,,
India,Technology,Midjourney,19.0,3231,2024,55+,SME,,
Germany,Technology,Midjourney,35.73,6182,2024,25-34,Enterprise,,
Australia,Technology,Stable Diffusion,38.73,8200,2024,18-24,Enterprise,,
Canada,Technology,ChatGPT,77.8,679,2024,18-24,Startup,,
Canada,Technology,Bard,89.3,2498,2023,35-44,SME,,
India,Technology,Midjourney,60.54,8322,2024,18-24,Enterprise,,
USA,Technology,Midjourney,47.94,696,2024,55+,SME,,
India,Technology,Midjourney,60.12,6302,2024,35-44,Enterprise,,
Australia,Technology,Stable Diffusion,9.37,4526,2024,55+,SME,,
USA,Technology,Bard,53.39,3080,2023,45-54,SME,,
UK,Technology,ChatGPT,74.27,2443,2023,45-54,Enterprise,,
Canada,Technology,Bard,45.14,1224,2024,45-54,Startup,,
Germany,Technology,Midjourney,0.99,3043,2024,18-24,Enterprise,,
India,Technology,Midjourney,5.39,8266,2024,18-24,Enterprise,,
France,Technology,Claude,54.85,1081,2024,25-34,Enterprise,,
China,Technology,Midjourney,78.66,132,2024,25-34,Enterprise,,
UK,Technology,ChatGPT,58.5,4915,2024,55+,Enterprise,,
South Korea,Technology,ChatGPT,54.21,7811,2023,25-34,SME,,
Australia,Technology,Stable Diffusion,83.16,1637,2024,55+,Startup,,
Brazil,Technology,Bard,56.91,5821,2023,35-44,Startup,,
UK,Technology,ChatGPT,31.77,4585,2024,55+,Enterprise,,
China,Technology,ChatGPT,27.54,9144,2024,45-54,Enterprise,,
Brazil,Technology,Stable Diffusion,29.27,6628,2024,25-34,SME,,
Australia,Technology,ChatGPT,35.97,7225,2024,45-54,SME,,
Germany,Technology,Stable Diffusion,53.15,9672,2024,55+,Enterprise,,
Australia,Technology,ChatGPT,50.22,4623,2023,18-24,SME,,
India,Technology,Stable Diffusion,34.62,9874,2024,55+,Enterprise,,
South Korea,Technology,ChatGPT,7.18,8190,2024,55+,SME,,
Canada,Technology,Midjourney,52.22,8482,2024,45-54,Enterprise,,
