country,industry,ai_tool,adoption_rate,daily_active_users,year,age_group,company_size,estimated_users_per_year,new_users_2023_2024
Canada,Transportation,ChatGPT,66.27,5699,2023,25-34,Enterprise,2080135,12.968899521531057
UK,Transportation,Midjourney,13.95,3369,2024,55+,Enterprise,1229685,-472.07849670342057
France,Transportation,ChatGPT,94.53,731,2023,18-24,Startup,266815,-168.31570299807936
France,Transportation,ChatGPT,55.22,6822,2023,35-44,SME,2490030,-168.31570299807936
China,Transportation,ChatGPT,8.76,2246,2024,45-54,SME,819790,-175.73951162442336
France,Transportation,Stable Diffusion,69.39,1909,2023,18-24,Startup,696785,-549.4302600472811
Canada,Transportation,ChatGPT,16.31,7582,2024,35-44,SME,2767430,12.968899521531057
India,Transportation,Stable Diffusion,37.57,1328,2024,55+,Enterprise,484720,385.88597894175655
Brazil,Transportation,Midjourney,69.41,7682,2024,35-44,Startup,2803930,-283.698664873692
UK,Transportation,Midjourney,28.87,2263,2024,55+,SME,825995,-472.07849670342057
Canada,Transportation,Stable Diffusion,5.88,8518,2024,45-54,SME,3109070,277.0786082474224
UK,Transportation,Midjourney,83.19,951,2024,55+,Startup,347115,-472.07849670342057
USA,Transportation,ChatGPT,17.6,5439,2023,35-44,SME,1985235,483.4011806136159
Germany,Transportation,Midjourney,98.91,2457,2024,55+,Enterprise,896805,-303.97086720867173
Australia,Transportation,Claude,80.39,1222,2024,55+,SME,446030,-1395.439393939394
USA,Transportation,Midjourney,71.93,6484,2023,35-44,SME,2366660,-624.0309139784949
Brazil,Transportation,ChatGPT,80.27,8498,2023,55+,Startup,3101770,125.79546163173382
France,Transportation,Midjourney,59.27,1316,2024,55+,SME,480340,98.65764489902995
Brazil,Transportation,ChatGPT,11.26,805,2023,55+,Startup,293825,125.79546163173382
South Korea,Transportation,ChatGPT,85.59,5939,2024,45-54,Startup,2167735,-145.32808168052907
UK,Transportation,ChatGPT,77.56,2387,2023,18-24,Startup,871255,-129.9066670428574
France,Transportation,Bard,88.28,7535,2024,55+,Enterprise,2750275,374.83772314896123
Germany,Transportation,Claude,48.76,8359,2024,25-34,SME,3051035,-200.78371710526335
Germany,Transportation,Claude,37.64,2995,2023,25-34,Enterprise,1093175,-200.78371710526335
South Korea,Transportation,Midjourney,54.64,6436,2024,18-24,Enterprise,2349140,84.02775119617218
South Korea,Transportation,Stable Diffusion,89.49,9348,2024,18-24,SME,3412020,-112.20433255269381
USA,Transportation,ChatGPT,97.06,8192,2023,45-54,Enterprise,2990080,483.4011806136159
South Korea,Transportation,Midjourney,32.57,5124,2024,55+,Startup,1870260,84.02775119617218
France,Transportation,ChatGPT,78.71,9850,2024,35-44,SME,3595250,-168.31570299807936
South Korea,Transportation,Midjourney,96.85,9237,2024,55+,SME,3371505,84.02775119617218
France,Transportation,Stable Diffusion,27.26,4637,2024,55+,Startup,1692505,-549.4302600472811
Canada,Transportation,Midjourney,82.61,7192,2024,35-44,SME,2625080,-237.92609069308946
USA,Transportation,ChatGPT,71.18,5271,2024,35-44,Enterprise,1923915,483.4011806136159
Canada,Transportation,Stable Diffusion,94.93,9515,2024,45-54,SME,3472975,277.0786082474224
Germany,Transportation,ChatGPT,75.55,7962,2023,55+,Startup,2906130,289.07675633067356
