country,industry,ai_tool,adoption_rate,daily_active_users,year,age_group,company_size,estimated_users_per_year,new_users_2023_2024
India,Agriculture,Claude,66.82,915,2024,45-54,Enterprise,333975,980.5580357142853
Germany,Agriculture,Bard,8.79,6427,2024,45-54,Enterprise,2345855,-250.51690201112524
Germany,Agriculture,ChatGPT,39.78,7710,2024,35-44,Startup,2814150,30.029890109889493
India,Agriculture,Midjourney,93.97,3525,2023,35-44,SME,1286625,-83.16822721597964
Brazil,Agriculture,ChatGPT,52.79,2147,2024,25-34,Enterprise,783655,70.86524222931894
Brazil,Agriculture,Midjourney,52.14,1973,2024,35-44,SME,720145,2.3672694063934614
France,Agriculture,Midjourney,50.41,4275,2024,55+,Enterprise,1560375,-48.24424870466282
Brazil,Agriculture,ChatGPT,73.95,924,2023,35-44,Enterprise,337260,70.86524222931894
Canada,Agriculture,ChatGPT,50.8,8837,2024,55+,Startup,3225505,-246.28140683890888
China,Agriculture,Midjourney,76.34,4270,2024,45-54,Startup,1558550,-490.0307175295193
Brazil,Agriculture,ChatGPT,34.9,3249,2024,55+,Enterprise,1185885,70.86524222931894
Germany,Agriculture,ChatGPT,87.42,2903,2023,35-44,Startup,1059595,30.029890109889493
Brazil,Agriculture,Bard,89.94,4166,2023,55+,Startup,1520590,-34.99712184202144
USA,Agriculture,Stable Diffusion,18.15,9780,2023,45-54,Startup,3569700,-193.56087187666162
France,Agriculture,Midjourney,96.11,8675,2024,25-34,Startup,3166375,-48.24424870466282
France,Agriculture,Midjourney,60.96,969,2024,45-54,Startup,353685,-48.24424870466282
Germany,Agriculture,Claude,74.03,9747,2024,35-44,Enterprise,3557655,-791.5756056808686
UK,Agriculture,Midjourney,5.98,9624,2024,18-24,SME,3512760,47.087821108016215
USA,Agriculture,Midjourney,7.42,8920,2024,45-54,Enterprise,3255800,-541.9132420091328
China,Agriculture,Midjourney,64.56,8280,2024,45-54,Startup,3022200,-490.0307175295193
France,Agriculture,ChatGPT,89.05,9565,2023,45-54,Enterprise,3491225,75.81646586345414
UK,Agriculture,Stable Diffusion,81.66,312,2024,18-24,SME,113880,-4.68539524991138
South Korea,Agriculture,Stable Diffusion,80.79,6102,2023,45-54,SME,2227230,489.4414634146342
France,Agriculture,Midjourney,20.8,5264,2023,45-54,Enterprise,1921360,-48.24424870466282
UK,Agriculture,ChatGPT,21.67,4494,2024,35-44,Enterprise,1640310,-21.19076305220915
South Korea,Agriculture,ChatGPT,46.2,2596,2024,35-44,Startup,947540,-475.58427425345417
India,Agriculture,Stable Diffusion,60.15,4650,2024,45-54,SME,1697250,488.77613580849993
Germany,Agriculture,Claude,41.89,1738,2024,25-34,SME,634370,-791.5756056808686
France,Agriculture,ChatGPT,74.99,9956,2024,45-54,Startup,3633940,75.81646586345414
India,Agriculture,Bard,69.16,5743,2024,35-44,Enterprise,2096195,404.9682432432437
Australia,Agriculture,ChatGPT,40.44,3021,2023,35-44,Enterprise,1102665,330.41656437153597
