country,industry,ai_tool,adoption_rate,daily_active_users,year,age_group,company_size,estimated_users_per_year,new_users_2023_2024
China,Education,ChatGPT,38.79,6280,2024,25-34,SME,2292200,-20.565394183409808
Australia,Education,ChatGPT,67.97,5354,2024,45-54,SME,1954210,151.86525831660583
UK,Education,ChatGPT,47.02,3033,2024,35-44,Startup,1107045,345.2340999789967
Australia,Education,Stable Diffusion,43.8,2862,2024,55+,Enterprise,1044630,244.00823204064636
China,Education,Bard,64.5,8842,2023,45-54,SME,3227330,-587.1999071279315
Brazil,Education,Midjourney,20.79,4442,2024,18-24,Enterprise,1621330,-204.03641281731143
Brazil,Education,Midjourney,95.66,1013,2024,35-44,Enterprise,369745,-204.03641281731143
France,Education,Claude,24.38,6527,2023,18-24,SME,2382355,25.287903225806986
Australia,Education,Bard,6.27,4252,2024,18-24,SME,1551980,-630.5090756100499
Australia,Education,Midjourney,98.45,7504,2024,55+,SME,2738960,91.00814972297303
South Korea,Education,Stable Diffusion,81.03,218,2024,18-24,Enterprise,79570,-47.84057393383773
South Korea,Education,Stable Diffusion,84.75,8443,2024,18-24,SME,3081695,-47.84057393383773
China,Education,Stable Diffusion,84.39,4019,2023,18-24,Startup,1466935,182.726345083488
Germany,Education,Bard,0.99,303,2023,55+,Enterprise,110595,210.2845238095233
UK,Education,Bard,12.89,179,2023,55+,Startup,65335,189.6531623063238
South Korea,Education,Midjourney,59.64,4384,2024,55+,Startup,1600160,486.9386184367777
Canada,Education,Midjourney,91.08,5551,2023,35-44,Enterprise,2026115,-239.12728619029986
China,Education,Stable Diffusion,68.61,5333,2024,45-54,Enterprise,1946545,182.726345083488
Australia,Education,Bard,69.9,3659,2024,35-44,SME,1335535,-630.5090756100499
India,Education,Midjourney,96.48,9070,2023,25-34,Startup,3310550,724.3829695979948
Canada,Education,Stable Diffusion,12.96,4559,2024,25-34,SME,1664035,488.67554412071513
India,Education,Claude,18.17,5261,2023,55+,Startup,1920265,73.31236673774038
USA,Education,Stable Diffusion,41.64,972,2024,25-34,Enterprise,354780,216.1343864468863
USA,Education,Midjourney,90.08,3825,2024,25-34,Startup,1396125,-55.17937271725896
USA,Education,ChatGPT,59.85,3581,2023,25-34,SME,1307065,55.329637841832664
Australia,Education,ChatGPT,30.01,5064,2024,18-24,Startup,1848360,151.86525831660583
USA,Education,Midjourney,79.17,5438,2024,35-44,SME,1984870,-55.17937271725896
Germany,Education,Stable Diffusion,80.26,3433,2023,25-34,Enterprise,1253045,-434.0040780475565
France,Education,ChatGPT,25.88,804,2023,35-44,Enterprise,293460,134.2626819426432
China,Education,ChatGPT,85.79,6759,2024,18-24,SME,2467035,-20.565394183409808
Australia,Education,ChatGPT,50.59,715,2023,45-54,Enterprise,260975,151.86525831660583
Brazil,Education,Stable Diffusion,52.4,4846,2023,35-44,Enterprise,1768790,-277.90393933010364
India,Education,ChatGPT,38.43,3763,2024,45-54,SME,1373495,193.09717900063242
China,Education,Midjourney,32.75,8384,2024,25-34,Startup,3060160,473.9286190996236
China,Education,ChatGPT,77.98,6282,2024,45-54,Enterprise,2292930,-20.565394183409808
South Korea,Education,Midjourney,6.64,5583,2024,35-44,SME,2037795,486.9386184367777
France,Education,ChatGPT,46.79,9173,2023,35-44,Enterprise,3348145,134.2626819426432
India,Education,Midjourney,3.32,3167,2023,35-44,SME,1155955,724.3829695979948
France,Education,ChatGPT,6.32,8984,2024,35-44,Startup,3279160,134.2626819426432
Germany,Education,Bard,44.35,6801,2024,55+,Enterprise,2482365,210.2845238095233
USA,Education,Midjourney,39.85,8853,2023,55+,Enterprise,3231345,-55.17937271725896
UK,Education,Stable Diffusion,39.36,8148,2024,18-24,SME,2974020,-97.00131492439141
Canada,Education,Midjourney,6.24,3571,2024,45-54,Enterprise,1303415,-239.12728619029986
Germany,Education,Stable Diffusion,94.21,8628,2024,25-34,SME,3149220,-434.0040780475565
Germany,Education,ChatGPT,7.56,1297,2024,55+,Startup,473405,-305.80513537117895
UK,Education,ChatGPT,13.31,6491,2024,25-34,SME,2369215,345.2340999789967
France,Education,Midjourney,76.57,1913,2024,55+,Startup,698245,133.5730713375424
Canada,Education,ChatGPT,61.89,1134,2024,55+,SME,413910,24.868943895933626
Canada,Education,ChatGPT,70.09,7029,2024,35-44,Startup,2565585,24.868943895933626
France,Education,ChatGPT,2.3,8169,2024,35-44,Enterprise,2981685,134.2626819426432
UK,Education,Bard,38.29,8494,2024,18-24,Enterprise,3100310,189.6531623063238
South Korea,Education,ChatGPT,43.62,6121,2024,18-24,SME,2234165,306.4713045753915
Brazil,Education,Stable Diffusion,62.59,3942,2023,25-34,Startup,1438830,-277.90393933010364
