country,industry,ai_tool,adoption_rate,daily_active_users,year,age_group,company_size,estimated_users_per_year,new_users_2023_2024
Canada,Finance,ChatGPT,94.53,3010,2023,25-34,Enterprise,1098650,-180.02597531452102
China,Finance,Stable Diffusion,0.21,1432,2024,35-44,Startup,522680,-564.4079788541922
UK,Finance,Midjourney,66.26,2740,2024,55+,Enterprise,1000100,-465.1907249331125
Brazil,Finance,Midjourney,67.78,5660,2024,25-34,SME,2065900,267.42181682799765
India,Finance,ChatGPT,21.05,3524,2024,35-44,SME,1286260,-229.46177762757725
Brazil,Finance,Midjourney,27.47,9988,2024,18-24,SME,3645620,267.42181682799765
China,Finance,ChatGPT,8.65,3309,2023,18-24,Enterprise,1207785,-158.8122683142101
Australia,Finance,Midjourney,19.88,3053,2023,25-34,SME,1114345,-215.1227742221654
France,Finance,Bard,35.48,3235,2024,25-34,Startup,1180775,-366.94378109452737
Australia,Finance,Midjourney,99.48,7582,2023,18-24,Startup,2767430,-215.1227742221654
Germany,Finance,ChatGPT,91.4,3475,2023,55+,Startup,1268375,266.27250705729693
Germany,Finance,ChatGPT,1.83,3792,2024,35-44,Startup,1384080,266.27250705729693
India,Finance,Midjourney,82.09,5651,2024,25-34,Startup,2062615,-245.68861165567614
Australia,Finance,Midjourney,87.26,9803,2024,35-44,Enterprise,3578095,-215.1227742221654
Brazil,Finance,ChatGPT,32.01,3071,2023,45-54,SME,1120915,-402.96156881906336
France,Finance,Midjourney,67.47,8509,2024,18-24,SME,3105785,-251.48427592116514
UK,Finance,ChatGPT,93.15,6699,2024,55+,SME,2445135,736.2000468867218
Canada,Finance,ChatGPT,47.87,4371,2024,18-24,Startup,1595415,-180.02597531452102
South Korea,Finance,Midjourney,1.33,3314,2024,45-54,Enterprise,1209610,-31.586570720086456
India,Finance,ChatGPT,5.31,8893,2023,25-34,Startup,3245945,-229.46177762757725
Australia,Finance,ChatGPT,73.04,1063,2024,45-54,SME,387995,-271.33162259336586
Canada,Finance,Midjourney,56.9,8320,2023,45-54,SME,3036800,274.72947636266326
China,Finance,Midjourney,3.95,6008,2023,55+,SME,2192920,6.055125811327343
Brazil,Finance,Midjourney,80.84,5952,2024,18-24,SME,2172480,267.42181682799765
France,Finance,Stable Diffusion,63.11,1092,2024,25-34,SME,398580,-211.00272829401456
UK,Finance,Midjourney,28.7,8122,2023,18-24,SME,2964530,-465.1907249331125
Canada,Finance,ChatGPT,35.9,5400,2023,45-54,Enterprise,1971000,-180.02597531452102
South Korea,Finance,Midjourney,85.71,854,2024,45-54,Enterprise,311710,-31.586570720086456
South Korea,Finance,Midjourney,3.82,1360,2024,55+,Startup,496400,-31.586570720086456
China,Finance,ChatGPT,88.07,9198,2024,18-24,Startup,3357270,-158.8122683142101
India,Finance,Claude,79.19,326,2023,45-54,SME,118990,-117.55137395459951
USA,Finance,Stable Diffusion,52.9,770,2024,55+,Startup,281050,-635.5058479532163
Brazil,Finance,ChatGPT,2.61,9233,2023,18-24,Enterprise,3370045,-402.96156881906336
Brazil,Finance,Midjourney,90.27,6127,2024,45-54,SME,2236355,267.42181682799765
UK,Finance,Midjourney,72.6,1265,2024,35-44,Enterprise,461725,-465.1907249331125
Canada,Finance,Midjourney,67.35,2491,2024,55+,Enterprise,909215,274.72947636266326
Brazil,Finance,ChatGPT,95.61,7022,2024,18-24,SME,2563030,-402.96156881906336
Australia,Finance,Midjourney,58.54,6740,2024,35-44,SME,2460100,-215.1227742221654
USA,Finance,Bard,41.46,4175,2024,18-24,SME,1523875,-252.81917113893815
UK,Finance,ChatGPT,10.02,2050,2024,45-54,SME,748250,736.2000468867218
Brazil,Finance,ChatGPT,12.05,5716,2023,45-54,SME,2086340,-402.96156881906336
Australia,Finance,ChatGPT,33.29,3340,2024,35-44,Startup,1219100,-271.33162259336586
Germany,Finance,Stable Diffusion,1.32,2761,2024,25-34,Startup,1007765,-212.7319159335284
Brazil,Finance,Claude,12.02,3052,2023,35-44,Enterprise,1113980,393.0968750000002
UK,Finance,ChatGPT,90.3,6888,2024,18-24,Startup,2514120,736.2000468867218
South Korea,Finance,Midjourney,47.48,893,2024,55+,Enterprise,325945,-31.586570720086456
UK,Finance,Bard,51.17,8935,2024,25-34,Enterprise,3261275,-686.9793250228031
China,Finance,ChatGPT,86.83,2445,2024,25-34,Startup,892425,-158.8122683142101
France,Finance,Midjourney,21.94,4806,2024,18-24,Enterprise,1754190,-251.48427592116514
Australia,Finance,ChatGPT,78.87,4426,2024,55+,SME,1615490,-271.33162259336586
UK,Finance,Midjourney,65.17,3580,2024,18-24,SME,1306700,-465.1907249331125
Germany,Finance,ChatGPT,3.34,4276,2023,25-34,Startup,1560740,266.27250705729693
UK,Finance,Stable Diffusion,43.72,2833,2024,18-24,SME,1034045,-103.38070214669006
South Korea,Finance,Midjourney,15.86,3555,2024,25-34,SME,1297575,-31.586570720086456
South Korea,Finance,Bard,32.38,7766,2023,25-34,Startup,2834590,-575.8450354609931
India,Finance,Midjourney,83.49,2031,2024,55+,SME,741315,-245.68861165567614
South Korea,Finance,Midjourney,15.29,4681,2023,55+,SME,1708565,-31.586570720086456
Brazil,Finance,Stable Diffusion,91.87,6801,2024,55+,Startup,2482365,-133.8455269607848
USA,Finance,Midjourney,49.23,7474,2023,18-24,Enterprise,2728010,292.3184766687591
