country,industry,ai_tool,adoption_rate,daily_active_users,year,age_group,company_size,estimated_users_per_year,new_users_2023_2024
Canada,Healthcare,ChatGPT,96.23,408,2024,45-54,SME,148920,563.7004130376226
Australia,Healthcare,Stable Diffusion,88.07,1366,2024,45-54,Startup,498590,-628.3914161392404
Australia,Healthcare,Midjourney,17.3,7567,2023,25-34,SME,2761955,-244.74961695607726
UK,Healthcare,Claude,0.62,2751,2024,25-34,SME,1004115,534.3012820512822
China,Healthcare,Midjourney,91.67,9496,2024,45-54,SME,3466040,-15.026204403861811
UK,Healthcare,ChatGPT,48.31,7246,2024,45-54,Enterprise,2644790,257.41436251920095
Australia,Healthcare,Midjourney,36.58,503,2024,55+,Enterprise,183595,-244.74961695607726
India,Healthcare,ChatGPT,90.82,300,2024,45-54,Enterprise,109500,100.90992493052909
South Korea,Healthcare,Bard,93.19,8582,2023,25-34,Startup,3132430,-482.122514071295
Germany,Healthcare,Midjourney,65.62,6987,2024,18-24,Enterprise,2550255,61.360574412532515
Australia,Healthcare,Stable Diffusion,4.68,2940,2024,45-54,Startup,1073100,-628.3914161392404
Brazil,Healthcare,Stable Diffusion,54.04,2588,2023,35-44,SME,944620,278.83908185572
Brazil,Healthcare,Stable Diffusion,70.42,5212,2024,45-54,SME,1902380,278.83908185572
Brazil,Healthcare,ChatGPT,80.41,9589,2023,18-24,Startup,3499985,88.52003529152262
India,Healthcare,ChatGPT,9.22,2002,2024,35-44,Startup,730730,100.90992493052909
India,Healthcare,Midjourney,88.49,1300,2023,25-34,Startup,474500,22.750097370983895
France,Healthcare,ChatGPT,85.9,4521,2024,55+,Enterprise,1650165,-191.3364056841283
UK,Healthcare,Stable Diffusion,44.61,9169,2024,35-44,Startup,3346685,-279.16804020100517
Germany,Healthcare,Midjourney,93.73,7307,2024,35-44,SME,2667055,61.360574412532515
South Korea,Healthcare,Midjourney,82.19,410,2023,18-24,SME,149650,328.13408942558726
