country,industry,ai_tool,adoption_rate,daily_active_users,year,age_group,company_size,estimated_users_per_year,new_users_2023_2024
USA,Manufacturing,ChatGPT,3.34,5238,2023,25-34,Startup,1911870,-20.63557553956798
USA,Manufacturing,Stable Diffusion,94.21,5586,2024,35-44,Startup,2038890,633.8217293233083
Canada,Manufacturing,Stable Diffusion,48.83,7571,2024,25-34,SME,2763415,-125.20885028949579
France,Manufacturing,ChatGPT,57.91,7965,2024,25-34,Enterprise,2907225,-170.278953670605
Australia,Manufacturing,Stable Diffusion,62.22,5933,2024,35-44,SME,2165545,134.85661729574713
China,Manufacturing,Stable Diffusion,42.77,7518,2024,18-24,Enterprise,2744070,338.1061452513968
France,Manufacturing,ChatGPT,33.48,6855,2024,18-24,Startup,2502075,-170.278953670605
Australia,Manufacturing,ChatGPT,68.93,6983,2024,18-24,Enterprise,2548795,220.50805035128815
South Korea,Manufacturing,ChatGPT,26.24,7061,2024,25-34,Enterprise,2577265,-211.63084186939795
Australia,Manufacturing,Bard,79.94,3317,2024,45-54,SME,1210705,70.21047031283251
Brazil,Manufacturing,ChatGPT,40.69,5155,2024,45-54,Enterprise,1881575,163.8292149292147
France,Manufacturing,Stable Diffusion,25.24,4715,2023,25-34,SME,1720975,68.6155038759689
India,Manufacturing,Midjourney,90.39,407,2024,35-44,Enterprise,148555,33.3226872933692
China,Manufacturing,ChatGPT,7.79,8557,2024,45-54,Enterprise,3123305,245.4935689085205
India,Manufacturing,Midjourney,10.43,8530,2024,55+,Startup,3113450,33.3226872933692
Canada,Manufacturing,Midjourney,83.67,6654,2024,25-34,Startup,2428710,-65.53200000000015
India,Manufacturing,ChatGPT,24.21,9586,2024,35-44,SME,3498890,-224.1724911087058
China,Manufacturing,ChatGPT,59.83,5840,2024,25-34,Startup,2131600,245.4935689085205
India,Manufacturing,Stable Diffusion,66.66,5322,2024,45-54,Startup,1942530,-531.2596711798842
Brazil,Manufacturing,Midjourney,63.34,1777,2023,45-54,Startup,648605,-62.85175674450875
China,Manufacturing,Stable Diffusion,10.69,9182,2024,45-54,SME,3351430,338.1061452513968
South Korea,Manufacturing,ChatGPT,88.35,4237,2023,45-54,SME,1546505,-211.63084186939795
India,Manufacturing,Stable Diffusion,72.68,6688,2024,25-34,Startup,2441120,-531.2596711798842
India,Manufacturing,Midjourney,82.39,2119,2024,45-54,Enterprise,773435,33.3226872933692
China,Manufacturing,Midjourney,88.0,4463,2024,18-24,Enterprise,1628995,183.20009324009334
China,Manufacturing,Midjourney,71.67,636,2024,55+,Enterprise,232140,183.20009324009334
Australia,Manufacturing,Stable Diffusion,20.22,8961,2024,25-34,Enterprise,3270765,134.85661729574713
India,Manufacturing,Midjourney,36.45,9731,2024,55+,Enterprise,3551815,33.3226872933692
Canada,Manufacturing,Midjourney,42.74,2454,2023,55+,SME,895710,-65.53200000000015
South Korea,Manufacturing,ChatGPT,35.05,2943,2024,25-34,SME,1074195,-211.63084186939795
Australia,Manufacturing,ChatGPT,97.32,4436,2024,45-54,Enterprise,1619140,220.50805035128815
Germany,Manufacturing,ChatGPT,38.0,9169,2024,18-24,Startup,3346685,132.46483095723033
Canada,Manufacturing,Claude,22.98,9000,2024,55+,SME,3285000,599.7975734355041
India,Manufacturing,ChatGPT,90.13,854,2024,35-44,SME,311710,-224.1724911087058
India,Manufacturing,Midjourney,89.09,734,2024,35-44,Enterprise,267910,33.3226872933692
Canada,Manufacturing,ChatGPT,43.26,196,2023,25-34,SME,71540,-43.04391976974239
Australia,Manufacturing,ChatGPT,93.13,9008,2023,25-34,Enterprise,3287920,220.50805035128815
Canada,Manufacturing,Stable Diffusion,50.82,8595,2024,55+,SME,3137175,-125.20885028949579
USA,Manufacturing,Bard,56.4,3808,2024,45-54,Enterprise,1389920,-8.675595238095411
South Korea,Manufacturing,Bard,1.98,9059,2023,25-34,Enterprise,3306535,-498.3814354936403
USA,Manufacturing,ChatGPT,1.02,1194,2024,35-44,SME,435810,-20.63557553956798
Australia,Manufacturing,ChatGPT,50.01,9858,2023,55+,Enterprise,3598170,220.50805035128815
Germany,Manufacturing,Bard,7.18,9065,2024,55+,Startup,3308725,64.79093142729471
UK,Manufacturing,ChatGPT,33.17,4990,2024,35-44,Startup,1821350,174.17855925314052
India,Manufacturing,Claude,31.94,9788,2024,18-24,Startup,3572620,-177.62545289855098
Germany,Manufacturing,Midjourney,79.44,5714,2023,55+,Startup,2085610,-557.7051504334522
USA,Manufacturing,ChatGPT,50.95,7539,2024,45-54,SME,2751735,-20.63557553956798
France,Manufacturing,ChatGPT,9.3,385,2023,35-44,SME,140525,-170.278953670605
USA,Manufacturing,ChatGPT,79.7,2194,2023,18-24,SME,800810,-20.63557553956798
USA,Manufacturing,ChatGPT,73.67,8547,2024,18-24,SME,3119655,-20.63557553956798
Australia,Manufacturing,ChatGPT,8.25,9643,2023,18-24,Startup,3519695,220.50805035128815
India,Manufacturing,Midjourney,78.33,8751,2024,45-54,SME,3194115,33.3226872933692
USA,Manufacturing,Bard,72.91,1797,2023,45-54,Startup,655905,-8.675595238095411
Australia,Manufacturing,ChatGPT,54.92,4398,2024,45-54,Enterprise,1605270,220.50805035128815
South Korea,Manufacturing,ChatGPT,68.24,2699,2023,45-54,SME,985135,-211.63084186939795
Canada,Manufacturing,Midjourney,57.56,1114,2023,55+,Startup,406610,-65.53200000000015
South Korea,Manufacturing,ChatGPT,95.43,8702,2024,45-54,SME,3176230,-211.63084186939795
China,Manufacturing,Stable Diffusion,3.8,7906,2024,35-44,Enterprise,2885690,338.1061452513968
China,Manufacturing,Midjourney,78.08,5469,2024,18-24,SME,1996185,183.20009324009334
