country,industry,ai_tool,adoption_rate,daily_active_users,year,age_group,company_size,estimated_users_per_year,new_users_2023_2024
South Korea,Retail,ChatGPT,40.16,8023,2024,18-24,SME,2928395,-117.17925520723747
India,Retail,Midjourney,10.47,8963,2024,25-34,Enterprise,3271495,-239.57672707637357
China,Retail,Claude,33.22,228,2023,18-24,Enterprise,83220,238.07742537313425
Canada,Retail,ChatGPT,8.21,6279,2024,35-44,Startup,2291835,-164.3537587412593
Germany,Retail,Stable Diffusion,1.18,6449,2024,18-24,Startup,2353885,-196.43338345864595
India,Retail,ChatGPT,28.03,6819,2024,18-24,Startup,2488935,-130.64062328842192
Australia,Retail,Midjourney,20.43,7146,2023,25-34,Startup,2608290,216.5975477316515
Australia,Retail,Claude,9.68,6993,2024,18-24,Startup,2552445,3.89264069264118
India,Retail,Midjourney,61.97,2312,2024,18-24,Startup,843880,-239.57672707637357
UK,Retail,ChatGPT,92.3,7778,2024,55+,Startup,2838970,-339.2187472181831
USA,Retail,Stable Diffusion,36.6,3785,2024,45-54,Enterprise,1381525,-268.79556392550694
Canada,Retail,ChatGPT,30.56,2094,2024,25-34,SME,764310,-164.3537587412593
Australia,Retail,Bard,31.01,2868,2024,35-44,Enterprise,1046820,775.9605234696082
Australia,Retail,ChatGPT,43.95,6944,2024,45-54,SME,2534560,-21.983398496240625
Germany,Retail,Midjourney,37.39,1317,2024,35-44,SME,480705,211.77228307207952
Canada,Retail,Midjourney,99.63,5502,2024,25-34,SME,2008230,97.92869968830473
UK,Retail,Midjourney,56.17,4479,2024,55+,Startup,1634835,71.84398976982084
Australia,Retail,Midjourney,46.06,4141,2024,35-44,Startup,1511465,216.5975477316515
Brazil,Retail,ChatGPT,80.98,3995,2024,18-24,Startup,1458175,274.5788925438592
Australia,Retail,Stable Diffusion,52.29,9712,2024,55+,Enterprise,3544880,872.2846753246749
USA,Retail,ChatGPT,93.68,3842,2024,45-54,Startup,1402330,-109.27587533666792
USA,Retail,ChatGPT,71.4,9489,2024,55+,SME,3463485,-109.27587533666792
South Korea,Retail,Stable Diffusion,33.59,4689,2023,55+,Startup,1711485,-36.00562595586598
South Korea,Retail,ChatGPT,0.32,3933,2023,18-24,SME,1435545,-117.17925520723747
USA,Retail,Midjourney,19.71,1446,2023,55+,Startup,527790,-158.68667561521215
Canada,Retail,Stable Diffusion,47.61,3728,2024,35-44,SME,1360720,-392.79950235725573
USA,Retail,Midjourney,5.38,4325,2023,18-24,Startup,1578625,-158.68667561521215
India,Retail,ChatGPT,51.11,1081,2023,18-24,Startup,394565,-130.64062328842192
South Korea,Retail,Midjourney,60.44,3725,2024,55+,SME,1359625,-36.098823618128336
Brazil,Retail,Midjourney,99.54,2756,2024,35-44,Startup,1005940,-208.44298245614027
Germany,Retail,Midjourney,23.5,4343,2023,45-54,Enterprise,1585195,211.77228307207952
Australia,Retail,Bard,51.57,7805,2024,55+,SME,2848825,775.9605234696082
Australia,Retail,Midjourney,2.35,1662,2024,25-34,SME,606630,216.5975477316515
Germany,Retail,Midjourney,69.41,7759,2024,25-34,Enterprise,2832035,211.77228307207952
