country,industry,ai_tool,adoption_rate,daily_active_users,year,age_group,company_size,estimated_users_per_year,new_users_2023_2024
USA,Technology,Midjourney,38.77,5313,2023,55+,Startup,1939245,14.928444444444722
Brazil,Technology,ChatGPT,37.71,8803,2023,25-34,SME,3213095,-441.02189140147857
Germany,Technology,ChatGPT,41.89,4450,2024,55+,Startup,1624250,-42.31222977684865
Australia,Technology,Stable Diffusion,75.71,6653,2023,35-44,SME,2428345,144.55526315789484
Brazil,Technology,Stable Diffusion,4.84,5941,2024,55+,Startup,2168465,149.01497584541085
Brazil,Technology,Midjourney,84.41,5714,2024,45-54,SME,2085610,-22.086578846888187
Australia,Technology,ChatGPT,34.35,2060,2024,25-34,Enterprise,751900,438.2447344322336
China,Technology,ChatGPT,25.08,9687,2024,25-34,Startup,3535755,52.36042718148565
Canada,Technology,Midjourney,59.58,4610,2024,18-24,SME,1682650,74.83018939179328
Germany,Technology,ChatGPT,2.92,3728,2024,55+,Startup,1360720,-42.31222977684865
South Korea,Technology,Bard,95.8,6315,2024,45-54,SME,2304975,-305.46706349206306
France,Technology,ChatGPT,79.55,1519,2024,25-34,SME,554435,63.00409980292807
Brazil,Technology,Midjourney,32.39,769,2024,55+,Startup,280685,-22.086578846888187
France,Technology,Midjourney,59.53,8406,2024,18-24,SME,3068190,-32.10612606624545
South Korea,Technology,Midjourney,16.49,6395,2024,35-44,Enterprise,2334175,222.4802885090403
Canada,Technology,Midjourney,93.2,8114,2024,35-44,Startup,2961610,74.83018939179328
India,Technology,ChatGPT,53.6,2381,2024,25-34,Enterprise,869065,62.984419991772484
France,Technology,ChatGPT,80.46,8893,2024,45-54,SME,3245945,63.00409980292807
UK,Technology,ChatGPT,99.1,5430,2023,18-24,Startup,1981950,185.391736105802
UK,Technology,Midjourney,80.6,2472,2023,35-44,SME,902280,559.5282267243347
China,Technology,Midjourney,77.52,4663,2023,25-34,SME,1701995,131.26339691189878
Germany,Technology,Claude,92.41,231,2024,55+,Enterprise,84315,-1018.879772079772
Canada,Technology,Midjourney,65.0,8460,2023,55+,Startup,3087900,74.83018939179328
South Korea,Technology,Midjourney,5.07,663,2024,55+,Startup,241995,222.4802885090403
South Korea,Technology,ChatGPT,52.93,5996,2024,18-24,Startup,2188540,225.22097298221615
Canada,Technology,Stable Diffusion,52.74,8405,2024,55+,Enterprise,3067825,-132.83240456951808
USA,Technology,Midjourney,20.41,7436,2024,55+,Enterprise,2714140,14.928444444444722
USA,Technology,Midjourney,47.78,4581,2024,35-44,Enterprise,1672065,14.928444444444722
India,Technology,ChatGPT,58.86,2847,2024,45-54,Enterprise,1039155,62.984419991772484
Australia,Technology,Bard,83.21,525,2023,18-24,Startup,191625,201.1607341490544
France,Technology,Stable Diffusion,28.75,6669,2024,55+,SME,2434185,-439.66945481702714
UK,Technology,Midjourney,96.68,5317,2023,25-34,Enterprise,1940705,559.5282267243347
USA,Technology,ChatGPT,14.39,7149,2024,35-44,Enterprise,2609385,337.35736185631686
France,Technology,ChatGPT,52.79,6956,2023,55+,Enterprise,2538940,63.00409980292807
France,Technology,ChatGPT,54.51,4759,2023,45-54,Startup,1737035,63.00409980292807
Australia,Technology,Midjourney,62.84,3702,2024,35-44,Startup,1351230,235.3517171717176
China,Technology,Bard,10.16,5802,2024,35-44,SME,2117730,-83.38366013071936
China,Technology,ChatGPT,10.14,8744,2023,35-44,SME,3191560,52.36042718148565
UK,Technology,Midjourney,10.71,7325,2024,35-44,SME,2673625,559.5282267243347
Canada,Technology,Stable Diffusion,31.57,5207,2024,45-54,Startup,1900555,-132.83240456951808
UK,Technology,ChatGPT,25.46,6907,2024,25-34,Enterprise,2521055,185.391736105802
Germany,Technology,Stable Diffusion,52.86,6509,2024,45-54,Startup,2375785,-537.0066391941391
USA,Technology,Claude,49.67,3970,2024,35-44,SME,1449050,-1203.668552036199
China,Technology,ChatGPT,40.41,820,2024,45-54,SME,299300,52.36042718148565
Germany,Technology,ChatGPT,48.4,3906,2023,35-44,Startup,1425690,-42.31222977684865
Germany,Technology,ChatGPT,7.9,6354,2024,55+,Enterprise,2319210,-42.31222977684865
UK,Technology,Midjourney,12.04,8792,2024,25-34,Startup,3209080,559.5282267243347
Brazil,Technology,ChatGPT,51.03,6398,2024,25-34,Startup,2335270,-441.02189140147857
South Korea,Technology,Midjourney,86.94,3486,2023,45-54,Startup,1272390,222.4802885090403
USA,Technology,Midjourney,23.98,471,2024,55+,SME,171915,14.928444444444722
UK,Technology,ChatGPT,31.52,666,2024,18-24,Startup,243090,185.391736105802
Germany,Technology,ChatGPT,58.76,2097,2023,35-44,Enterprise,765405,-42.31222977684865
India,Technology,Midjourney,40.61,4796,2024,35-44,Startup,1750540,184.05574935400546
Germany,Technology,Stable Diffusion,67.92,8654,2023,18-24,Startup,3158710,-537.0066391941391
Germany,Technology,ChatGPT,44.1,988,2024,55+,Startup,360620,-42.31222977684865
UK,Technology,Midjourney,5.19,2224,2024,18-24,Startup,811760,559.5282267243347
Australia,Technology,ChatGPT,1.31,6757,2023,18-24,Startup,2466305,438.2447344322336
France,Technology,ChatGPT,35.4,7452,2024,45-54,SME,2719980,63.00409980292807
France,Technology,Bard,12.64,514,2024,45-54,SME,187610,205.8755244755239
USA,Technology,Midjourney,54.8,4740,2024,55+,Enterprise,1730100,14.928444444444722
UK,Technology,ChatGPT,81.9,9438,2023,55+,SME,3444870,185.391736105802
Brazil,Technology,ChatGPT,81.72,8940,2024,35-44,Startup,3263100,-441.02189140147857
Brazil,Technology,Midjourney,33.37,945,2024,45-54,SME,344925,-22.086578846888187
Germany,Technology,Stable Diffusion,87.18,8056,2023,55+,SME,2940440,-537.0066391941391
India,Technology,ChatGPT,77.26,8875,2024,45-54,SME,3239375,62.984419991772484
China,Technology,ChatGPT,19.51,8707,2024,45-54,SME,3178055,52.36042718148565
India,Technology,Midjourney,90.25,7328,2024,55+,SME,2674720,184.05574935400546
Brazil,Technology,ChatGPT,73.62,3566,2024,35-44,Enterprise,1301590,-441.02189140147857
Brazil,Technology,Midjourney,19.26,2040,2024,25-34,SME,744600,-22.086578846888187
India,Technology,Midjourney,16.26,1584,2023,35-44,Startup,578160,184.05574935400546
China,Technology,ChatGPT,79.97,4113,2024,18-24,Enterprise,1501245,52.36042718148565
UK,Technology,Midjourney,15.24,3926,2024,18-24,Startup,1432990,559.5282267243347
France,Technology,ChatGPT,99.51,9956,2023,55+,SME,3633940,63.00409980292807
South Korea,Technology,Midjourney,60.4,6601,2023,18-24,Startup,2409365,222.4802885090403
China,Technology,ChatGPT,88.91,6930,2024,25-34,SME,2529450,52.36042718148565
India,Technology,Midjourney,19.0,3231,2024,55+,SME,1179315,184.05574935400546
Germany,Technology,Midjourney,35.73,6182,2024,25-34,Enterprise,2256430,31.74864864864867
Australia,Technology,Stable Diffusion,38.73,8200,2024,18-24,Enterprise,2993000,144.55526315789484
Canada,Technology,ChatGPT,77.8,679,2024,18-24,Startup,247835,209.0022250075299
Canada,Technology,Bard,89.3,2498,2023,35-44,SME,911770,-482.15166666666664
India,Technology,Midjourney,60.54,8322,2024,18-24,Enterprise,3037530,184.05574935400546
USA,Technology,Midjourney,47.94,696,2024,55+,SME,254040,14.928444444444722
India,Technology,Midjourney,60.12,6302,2024,35-44,Enterprise,2300230,184.05574935400546
Australia,Technology,Stable Diffusion,9.37,4526,2024,55+,SME,1651990,144.55526315789484
USA,Technology,Bard,53.39,3080,2023,45-54,SME,1124200,4.25785050862487
UK,Technology,ChatGPT,74.27,2443,2023,45-54,Enterprise,891695,185.391736105802
Canada,Technology,Bard,45.14,1224,2024,45-54,Startup,446760,-482.15166666666664
Germany,Technology,Midjourney,0.99,3043,2024,18-24,Enterprise,1110695,31.74864864864867
India,Technology,Midjourney,5.39,8266,2024,18-24,Enterprise,3017090,184.05574935400546
France,Technology,Claude,54.85,1081,2024,25-34,Enterprise,394565,1423.8506860371263
China,Technology,Midjourney,78.66,132,2024,25-34,Enterprise,48180,131.26339691189878
UK,Technology,ChatGPT,58.5,4915,2024,55+,Enterprise,1793975,185.391736105802
South Korea,Technology,ChatGPT,54.21,7811,2023,25-34,SME,2851015,225.22097298221615
Australia,Technology,Stable Diffusion,83.16,1637,2024,55+,Startup,597505,144.55526315789484
Brazil,Technology,Bard,56.91,5821,2023,35-44,Startup,2124665,197.5907161803707
UK,Technology,ChatGPT,31.77,4585,2024,55+,Enterprise,1673525,185.391736105802
China,Technology,ChatGPT,27.54,9144,2024,45-54,Enterprise,3337560,52.36042718148565
Brazil,Technology,Stable Diffusion,29.27,6628,2024,25-34,SME,2419220,149.01497584541085
Australia,Technology,ChatGPT,35.97,7225,2024,45-54,SME,2637125,438.2447344322336
Germany,Technology,Stable Diffusion,53.15,9672,2024,55+,Enterprise,3530280,-537.0066391941391
Australia,Technology,ChatGPT,50.22,4623,2023,18-24,SME,1687395,438.2447344322336
India,Technology,Stable Diffusion,34.62,9874,2024,55+,Enterprise,3604010,6.600752789353464
South Korea,Technology,ChatGPT,7.18,8190,2024,55+,SME,2989350,225.22097298221615
Canada,Technology,Midjourney,52.22,8482,2024,45-54,Enterprise,3095930,74.83018939179328
South Korea,Technology,ChatGPT,45.09,7212,2024,18-24,SME,2632380,225.22097298221615
USA,Technology,Stable Diffusion,71.51,6313,2024,45-54,Enterprise,2304245,154.3131667174639
France,Technology,ChatGPT,4.76,659,2023,35-44,Enterprise,240535,63.00409980292807
India,Technology,Midjourney,32.48,6246,2024,35-44,Startup,2279790,184.05574935400546
Canada,Technology,Claude,6.23,8518,2024,25-34,Startup,3109070,-1079.6428571428569
Germany,Technology,Midjourney,79.54,8271,2024,18-24,Startup,3018915,31.74864864864867
China,Technology,Stable Diffusion,94.01,9310,2024,55+,Startup,3398150,276.6718338399187
Australia,Technology,ChatGPT,44.77,6981,2024,25-34,Enterprise,2548065,438.2447344322336
China,Technology,ChatGPT,66.9,1785,2023,25-34,Enterprise,651525,52.36042718148565
UK,Technology,Midjourney,43.84,5506,2024,18-24,Startup,2009690,559.5282267243347
Germany,Technology,Stable Diffusion,95.3,2374,2023,45-54,SME,866510,-537.0066391941391
Germany,Technology,Stable Diffusion,15.26,4698,2023,18-24,SME,1714770,-537.0066391941391
Brazil,Technology,Midjourney,21.46,1340,2024,35-44,SME,489100,-22.086578846888187
Canada,Technology,Claude,26.9,8755,2023,25-34,SME,3195575,-1079.6428571428569
Germany,Technology,ChatGPT,48.85,8083,2024,55+,Enterprise,2950295,-42.31222977684865
USA,Technology,ChatGPT,63.5,5340,2023,18-24,Startup,1949100,337.35736185631686
China,Technology,ChatGPT,83.18,2408,2024,45-54,Enterprise,878920,52.36042718148565
USA,Technology,Midjourney,19.38,3409,2023,55+,SME,1244285,14.928444444444722
Brazil,Technology,Bard,87.64,7713,2023,35-44,SME,2815245,197.5907161803707
India,Technology,Stable Diffusion,92.83,2321,2024,45-54,Enterprise,847165,6.600752789353464
France,Technology,Claude,30.16,9562,2023,45-54,Enterprise,3490130,1423.8506860371263
Germany,Technology,ChatGPT,48.75,1435,2024,55+,SME,523775,-42.31222977684865
Germany,Technology,ChatGPT,19.97,1578,2023,55+,SME,575970,-42.31222977684865
UK,Technology,Bard,68.94,9090,2023,18-24,Startup,3317850,604.9097058823536
UK,Technology,Bard,26.1,7457,2024,45-54,Enterprise,2721805,604.9097058823536
USA,Technology,ChatGPT,14.53,5422,2024,18-24,Enterprise,1979030,337.35736185631686
Australia,Technology,ChatGPT,34.85,6087,2024,18-24,Enterprise,2221755,438.2447344322336
Brazil,Technology,Midjourney,23.06,3428,2024,25-34,Enterprise,1251220,-22.086578846888187
UK,Technology,Midjourney,98.51,5211,2024,55+,SME,1902015,559.5282267243347
Germany,Technology,ChatGPT,87.49,4088,2024,25-34,Startup,1492120,-42.31222977684865
Germany,Technology,Midjourney,73.66,3333,2024,18-24,SME,1216545,31.74864864864867
India,Technology,ChatGPT,76.81,905,2023,18-24,Enterprise,330325,62.984419991772484
Brazil,Technology,Midjourney,99.64,7165,2024,35-44,Startup,2615225,-22.086578846888187
South Korea,Technology,Bard,37.73,7540,2023,45-54,Startup,2752100,-305.46706349206306
Canada,Technology,Midjourney,98.12,2268,2024,45-54,Enterprise,827820,74.83018939179328
Australia,Technology,Midjourney,41.92,5516,2024,55+,Enterprise,2013340,235.3517171717176
Germany,Technology,Bard,35.89,4615,2023,35-44,SME,1684475,-208.48576375529046
Australia,Technology,ChatGPT,74.45,5614,2024,35-44,Enterprise,2049110,438.2447344322336
South Korea,Technology,Midjourney,46.33,6453,2023,25-34,Startup,2355345,222.4802885090403
Brazil,Technology,Bard,5.29,3550,2024,55+,Enterprise,1295750,197.5907161803707
China,Technology,ChatGPT,13.57,1455,2024,25-34,SME,531075,52.36042718148565
UK,Technology,ChatGPT,82.06,9435,2024,25-34,Enterprise,3443775,185.391736105802
South Korea,Technology,ChatGPT,45.19,9896,2023,18-24,Startup,3612040,225.22097298221615
South Korea,Technology,Bard,3.82,2844,2024,18-24,Enterprise,1038060,-305.46706349206306
Canada,Technology,Bard,11.64,5523,2024,55+,SME,2015895,-482.15166666666664
Canada,Technology,Bard,68.8,9250,2024,25-34,Enterprise,3376250,-482.15166666666664
USA,Technology,Claude,37.25,390,2024,25-34,Startup,142350,-1203.668552036199
Brazil,Technology,Stable Diffusion,40.6,3868,2024,55+,Startup,1411820,149.01497584541085
UK,Technology,ChatGPT,64.08,5952,2024,55+,Startup,2172480,185.391736105802
Germany,Technology,ChatGPT,54.04,9440,2024,55+,Enterprise,3445600,-42.31222977684865
China,Technology,Claude,52.41,3898,2023,45-54,SME,1422770,529.71875
Brazil,Technology,Stable Diffusion,66.17,5508,2024,45-54,SME,2010420,149.01497584541085
USA,Technology,Stable Diffusion,45.17,789,2024,25-34,SME,287985,154.3131667174639
India,Technology,Midjourney,44.23,4174,2024,45-54,Enterprise,1523510,184.05574935400546
Brazil,Technology,ChatGPT,97.35,9052,2023,45-54,SME,3303980,-441.02189140147857
UK,Technology,Midjourney,55.01,9044,2024,45-54,Enterprise,3301060,559.5282267243347
South Korea,Technology,Stable Diffusion,24.72,5568,2024,18-24,Startup,2032320,-9.691897574528411
South Korea,Technology,Stable Diffusion,65.64,1920,2023,18-24,Startup,700800,-9.691897574528411
India,Technology,Claude,36.12,9973,2023,45-54,Startup,3640145,-1499.248975409836
South Korea,Technology,Midjourney,78.74,7415,2024,45-54,SME,2706475,222.4802885090403
Australia,Technology,Midjourney,2.48,4420,2024,35-44,Enterprise,1613300,235.3517171717176
China,Technology,Stable Diffusion,23.71,5839,2024,25-34,Startup,2131235,276.6718338399187
Canada,Technology,Midjourney,95.33,8573,2023,35-44,Startup,3129145,74.83018939179328
Australia,Technology,Midjourney,80.34,4569,2024,55+,SME,1667685,235.3517171717176
